date,equity,open_positions
2015-03-02,5678073.327994613,100
2015-03-03,5694321.979722289,100
2015-03-04,5685578.97587326,100
2015-03-05,5694035.093390731,100
2015-03-09,5674796.549845543,100
2015-03-10,5672264.88566998,100
2015-03-11,5670658.277685437,100
2015-03-12,5685318.9678614475,100
2015-03-13,5669206.453303546,100
2015-03-16,5663669.573083838,94
2015-03-17,5674820.016993212,96
2015-03-18,5676943.64658288,95
2015-03-19,5670029.566521593,94
2015-03-20,5650681.74010401,89
2015-03-23,5643509.348333679,85
2015-03-24,5640885.997156061,83
2015-03-25,5639709.321891083,80
2015-03-26,5633750.864281789,75
2015-03-27,5635004.296417839,73
2015-03-30,5654272.665835029,73
2015-03-31,5661541.959552922,80
2015-04-01,5678041.2493751645,83
2015-04-06,5689296.333106575,86
2015-04-07,5701019.235817263,91
2015-04-08,5709924.458095558,95
2015-04-09,5705845.682824161,99
2015-04-10,5708773.207332042,100
2015-04-13,5714152.944827439,100
2015-04-15,5705122.70427498,100
2015-04-16,5695751.7108031,100
2015-04-17,5675724.65074568,97
2015-04-20,5649176.5501996195,85
2015-04-21,5645136.684191263,82
2015-04-22,5647445.891046219,80
2015-04-23,5647140.4156878805,81
2015-04-24,5619985.293926953,71
2015-04-27,5593175.660661456,58
2015-04-28,5600301.9889218025,57
2015-04-29,5603882.794544857,58
2015-04-30,5604249.084087389,58
2015-05-04,5616472.235816972,59
2015-05-05,5615583.158194909,61
2015-05-06,5595056.440706389,54
2015-05-07,5584725.002069545,47
2015-05-08,5593959.859020305,47
2015-05-11,5599279.709918756,48
2015-05-12,5587769.610276492,47
2015-05-13,5593713.454682068,45
2015-05-14,5600092.63374109,46
2015-05-15,5603447.741391422,47
2015-05-18,5609094.609128524,47
2015-05-19,5614997.997176127,48
2015-05-20,5617462.346093134,48
2015-05-21,5616150.983013202,49
2015-05-22,5615252.812156064,52
2015-05-25,5616912.513669631,52
2015-05-26,5619022.757020029,53
2015-05-27,5614972.460715068,52
2015-05-28,5611665.405618441,52
2015-05-29,5624822.208447213,55
2015-06-01,5622856.931944054,61
2015-06-02,5605241.965383547,58
2015-06-03,5591553.118696497,53
2015-06-04,5594038.769246597,52
2015-06-05,5598581.530404274,53
2015-06-08,5590864.776357747,49
2015-06-09,5588992.510446168,49
2015-06-10,5596949.929490662,49
2015-06-11,5589255.319563743,45
2015-06-12,5588934.20902526,45
2015-06-15,5589291.160603092,44
2015-06-16,5591231.411830471,44
2015-06-17,5600501.634805474,44
2015-06-18,5606326.076853593,47
2015-06-19,5609706.121160115,48
2015-06-22,5618467.964221635,49
2015-06-23,5622142.96275356,53
2015-06-24,5618319.178179279,55
2015-06-25,5619177.357187223,58
2015-06-26,5620757.977104685,59
2015-06-29,5612996.638155555,57
2015-06-30,5621709.204599595,61
2015-07-01,5626174.406624875,64
2015-07-02,5635699.6975735035,66
2015-07-03,5637913.739143216,69
2015-07-06,5654670.679432266,73
2015-07-07,5656484.781912099,84
2015-07-08,5647201.544455822,88
2015-07-09,5642941.44924565,90
2015-07-10,5649018.459440192,90
2015-07-13,5659819.042952113,99
2015-07-14,5660285.063221089,100
2015-07-15,5665251.17963039,100
2015-07-16,5673683.756292965,100
2015-07-17,5679741.233429577,100
2015-07-20,5686317.574111607,100
2015-07-21,5665616.390486016,100
2015-07-22,5683542.306240334,100
2015-07-23,5686195.496634736,100
2015-07-24,5677483.563466169,100
2015-07-27,5665721.688639549,100
2015-07-28,5671149.641431626,97
2015-07-29,5682889.712597964,99
2015-07-30,5695239.790483264,100
2015-07-31,5701230.189040927,100
2015-08-03,5712050.113780765,100
2015-08-04,5724470.960758952,100
2015-08-05,5734203.293443469,100
2015-08-06,5729840.7828609515,100
2015-08-07,5734739.736312731,100
2015-08-10,5732901.467286929,100
2015-08-11,5724491.80575244,98
2015-08-12,5694429.972752445,94
2015-08-13,5690475.044180526,89
2015-08-14,5710518.285783511,95
2015-08-17,5712043.126171699,100
2015-08-18,5727040.445876708,100
2015-08-19,5730883.704625716,100
2015-08-20,5710408.913532452,97
2015-08-21,5706179.463397653,91
2015-08-24,5614107.181000312,59
2015-08-25,5622213.89320906,59
2015-08-26,5619216.075522025,59
2015-08-27,5637756.5835615,59
2015-08-28,5639308.607059081,59
2015-08-31,5640259.777792533,59
2015-09-01,5625165.833311167,58
2015-09-02,5626472.413678284,54
2015-09-03,5636042.821328525,56
2015-09-04,5619664.568203335,56
2015-09-07,5604495.624784015,51
2015-09-08,5605599.802612669,49
2015-09-09,5618775.326519377,49
2015-09-10,5620855.594871885,49
2015-09-11,5623312.095619566,49
2015-09-14,5628480.101829893,49
2015-09-15,5625404.024514542,50
2015-09-16,5623508.287900315,50
2015-09-18,5630510.423704494,52
2015-09-21,5635688.92235662,53
2015-09-22,5626331.722355084,54
2015-09-23,5629689.328900153,53
2015-09-24,5634763.667784117,56
2015-09-28,5635480.008457476,56
2015-09-29,5634747.735066079,56
2015-09-30,5646589.209158562,56
2015-10-01,5645383.343140267,56
2015-10-05,5653628.032584936,58
