symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,exit_reason
ITC,2017-01-24,2017-07-18,174.20036875351275,196.15488487546418,57,1251.407418951232,12.60302505617327,trail_stop
CROMPTON,2017-01-27,2017-07-18,171.92674394978312,196.28847758346325,58,1412.9805507534475,14.169833659384476,trail_stop
SPLPETRO,2017-01-27,2017-07-18,100.10057638656212,154.55007663887545,99,5390.500524979019,54.394791936106,trail_stop
MOTILALOFS,2017-01-30,2017-07-18,551.8074751261163,1038.8753503245857,18,8767.22175357245,88.26771965840975,trail_stop
COFORGE,2017-06-06,2017-07-18,99.04124105302908,97.53253564812378,100,-150.8705404905304,-1.5233102784904589,trail_stop
ELGIEQUIP,2017-06-16,2017-07-20,112.43368119836816,108.96912641923583,88,-304.8808205636451,-3.081420747062237,trail_stop
LAURUSLABS,2017-06-05,2017-07-25,116.35389671551059,113.98697231968083,85,-201.1885736455297,-2.034245919255266,trail_stop
ICICIPRULI,2017-01-19,2017-07-27,325.58556243661707,423.4307990733401,30,2935.3570991016895,30.05208090446912,trail_stop
BALKRISIND,2017-02-28,2017-07-27,589.0861022484908,735.8506034454587,16,2348.2320191514864,24.913930346816958,trail_stop
HEROMOTOCO,2017-03-07,2017-07-28,2431.134555264681,2723.825111681334,4,1170.7622256666127,12.039257793560816,trail_stop
ABFRL,2017-04-12,2017-07-28,169.4923553466797,166.5352325439453,58,-171.51312255859375,-1.744693910640321,trail_stop
DRREDDY,2017-07-20,2017-07-28,525.7365689054542,461.89867981919423,19,-1212.91989263894,-12.142562047598457,trail_stop
NATCOPHARM,2017-06-09,2017-07-31,965.0745426540849,910.2256834265182,10,-548.4885922756657,-5.683380589101939,trail_stop
GODREJIND,2017-05-31,2017-08-02,607.1648960867736,648.0354996021878,16,653.9296562466261,6.731384468836793,trail_stop
COLPAL,2017-06-08,2017-08-02,873.9378103714461,850.8812043861583,11,-253.62266583816563,-2.6382433294067154,trail_stop
ACE,2017-06-16,2017-08-02,71.76007458952819,66.3178695211286,139,-756.4665045075417,-7.5838899269953535,trail_stop
GODREJCP,2017-07-04,2017-08-02,612.8572745269526,567.5176552769221,16,-725.4339080004866,-7.398071481655627,trail_stop
LINDEINDIA,2017-03-10,2017-08-03,401.70679162409004,413.3993638153066,24,280.62173258919756,2.910723053484807,trail_stop
CANFINHOME,2017-05-03,2017-08-03,534.9222201865445,559.4645632922394,18,441.7621759025096,4.588020870984997,trail_stop
CGPOWER,2017-05-10,2017-08-03,83.37396536219345,80.50922889122596,119,-340.9036400451314,-3.436008421240963,trail_stop
BAYERCROP,2017-06-05,2017-08-03,4241.170311173736,3890.7507629094057,2,-700.8390965286608,-8.262331445193778,trail_stop
PNBHOUSING,2017-06-08,2017-08-03,1195.426082314944,1212.4425895115344,8,136.13205757272226,1.4234679540902935,trail_stop
GMDCLTD,2017-06-13,2017-08-04,115.46444437341547,108.04172358512926,86,-638.3539877926141,-6.428577064192082,trail_stop
TRITURBINE,2017-07-05,2017-08-04,148.07318761775258,130.97985683292376,67,-1145.2531625835309,-11.543839272883655,trail_stop
TIMKEN,2017-07-06,2017-08-04,732.3384260911207,655.619340916359,13,-997.3481072719023,-10.4759060075889,trail_stop
