date,equity,open_positions,entry_blocked
2005-08-05,1176051.9617393217,51,0
2005-08-08,1165768.0068049226,53,0
2005-08-09,1166351.1655214634,55,0
2005-08-10,1177309.8095769212,60,0
2005-08-11,1183751.0423732677,64,0
2005-08-12,1185712.5574144833,66,0
2005-08-16,1193110.6177412113,69,0
2005-08-17,1196802.232219597,74,0
2005-08-18,1189981.9910704717,75,0
2005-08-19,1192794.2882340644,78,0
2005-08-22,1192604.4492895408,80,0
2005-08-23,1171837.804043276,79,0
2005-08-24,1160713.3559287316,76,0
2005-08-25,1174151.5181272435,75,0
2005-08-26,1186049.0785927228,76,0
2005-08-29,1181751.8195123188,75,0
2005-08-30,1192548.0599660887,77,0
2005-08-31,1199282.5413403113,82,0
2005-09-01,1208498.8156078572,87,0
2005-09-02,1214093.6800763991,88,0
2005-09-05,1222146.749363029,89,0
2005-09-06,1221745.527552207,92,0
2005-09-08,1226451.349943751,93,0
2005-09-09,1222547.0470983689,98,0
2005-09-12,1239110.572938413,98,0
2005-09-13,1249206.2169806664,98,0
2005-09-14,1242846.429501981,98,0
2005-09-15,1260281.2832967942,98,0
2005-09-16,1268219.2015884821,98,0
2005-09-19,1280249.584617347,98,0
2005-09-20,1280546.9280895893,98,0
2005-09-21,1255914.044851171,97,0
2005-09-22,1194502.0781233113,89,0
2005-09-23,1205689.9559152704,85,0
2005-09-26,1239434.4401010852,85,0
2005-09-27,1248025.8986995777,87,0
2005-09-28,1257780.5612712088,88,0
2005-09-29,1250679.480040926,87,0
2005-09-30,1250418.7947372755,87,0
2005-10-03,1269610.035238317,88,0
2005-10-04,1288636.5490886194,91,0
2005-10-05,1279224.9563648922,91,0
2005-10-06,1256635.7681403381,91,0
2005-10-07,1255193.6906399948,91,0
2005-10-10,1246644.1759562208,88,0
2005-10-11,1243869.5961998627,86,0
2005-10-13,1228979.7652173566,84,0
2005-10-14,1207316.3473321416,80,0
2005-10-17,1202449.5417896127,73,0
2005-10-18,1201400.681086726,71,0
2005-10-19,1178194.0886407574,63,0
2005-10-20,1168654.5062042025,54,0
2005-10-21,1177821.8730400722,55,0
2005-10-24,1176310.9926601057,56,0
2005-10-25,1178370.190494868,53,0
2005-10-26,1174778.84470466,52,0
2005-10-27,1165133.8547181766,47,0
2005-10-28,1155413.6192701762,38,0
2005-10-31,1162743.309009165,38,0
2005-11-02,1170501.388760895,38,0
2005-11-04,1170501.388760895,38,0
2005-11-07,1177769.1920732912,39,0
2005-11-08,1183847.0288885266,41,0
2005-11-09,1182257.4671323926,41,0
2005-11-10,1186757.575080878,43,0
2005-11-11,1194864.9752852172,45,0
2005-11-14,1197298.7744387656,46,0
2005-11-16,1202172.5800108497,50,0
2005-11-17,1205838.2243239102,51,0
2005-11-18,1206814.608888683,55,0
2005-11-21,1204923.1242654892,55,0
2005-11-22,1202537.5749040218,55,0
2005-11-23,1206406.4849747512,58,0
2005-11-24,1213335.236548813,63,0
2005-11-25,1223048.6664064254,66,0
2005-11-28,1249859.716183965,75,0
2005-11-29,1243085.696090023,77,0
2005-11-30,1233241.8127611084,77,0
2005-12-01,1247962.3448989002,78,0
2005-12-02,1253070.6623787174,81,0
2005-12-05,1406010.7880413875,85,0
2005-12-06,1249686.365291473,86,0
2005-12-07,1259053.5057819083,90,0
2005-12-08,1272623.436839188,89,0
2005-12-09,1284278.9392581012,90,0
2005-12-12,1289824.3621682602,93,0
2005-12-13,1298140.323326357,93,0
2005-12-14,1293975.8559867817,93,0
2005-12-15,1277944.397056947,92,0
2005-12-16,1284497.5518487417,89,0
2005-12-19,1306338.279716509,92,0
2005-12-20,1299433.4317080912,93,0
2005-12-21,1305771.7897838291,93,0
2005-12-22,1305689.0055347618,93,0
2005-12-23,1295036.5182058748,93,0
2005-12-26,1268584.3462085088,84,0
2005-12-27,1289584.084963735,84,0
2005-12-28,1285102.5235565363,86,0
2005-12-29,1292537.929382796,88,0
2005-12-30,1301980.90083199,91,0
2006-01-02,1312129.8483838306,92,0
2006-01-03,1333727.6566112505,92,0
2006-01-04,1338784.509231733,92,0
2006-01-05,1344618.4446870552,92,0
2006-01-06,1341399.7452774239,91,0
2006-01-09,1347775.4725831042,91,0
2006-01-10,1340075.3717496032,91,0
2006-01-12,1344549.1981705038,91,0
2006-01-13,1348693.7978303044,91,0
2006-01-16,1344551.168966244,90,0
2006-01-17,1336578.5228521682,88,0
2006-01-18,1331881.309408585,87,0
2006-01-19,1358314.674295522,88,0
