symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,exit_reason
FSL,2014-01-08,2014-03-13,18.95122568178801,20.540176982950133,527,837.3773357124392,8.384424985709996,trail_stop
HCLTECH,2013-07-10,2014-03-14,145.32848758480478,254.17922835548862,68,7401.850372406499,74.89979602737226,trail_stop
WIPRO,2013-12-17,2014-03-14,85.43162957042534,89.92924412327456,117,526.220902683357,5.264577739491213,trail_stop
3MINDIA,2014-01-08,2014-03-14,3506.983942825629,3299.026717970448,2,-415.91444971036253,-5.929802595207409,trail_stop
MINDACORP,2014-03-06,2014-03-18,18.95119300255409,16.58703121962166,527,-1245.9132596053878,-12.475002405462297,trail_stop
CHOLAHLDNG,2014-01-09,2014-03-19,113.31805256397475,106.67182736365353,88,-584.8678176282665,-5.8651071474856336,trail_stop
MANAPPURAM,2014-01-13,2014-03-19,14.899030254437527,15.188643746307298,671,194.33065304461525,1.943841222709853,trail_stop
ECLERX,2014-02-21,2014-03-19,310.18015207097625,265.027807905792,32,-1444.8750132858968,-14.556812827550743,trail_stop
GAIL,2014-02-03,2014-03-20,43.92428061312673,43.74278460840371,227,-41.199593072125936,-0.413201997140465,trail_stop
ARE&M,2014-02-13,2014-03-24,333.98574097968645,319.6054351607605,29,-417.0288687488519,-4.3056646001544605,trail_stop
KEI,2014-01-06,2014-03-25,12.899363940730836,10.877825596477622,775,-1566.6922167962402,-15.671612596881884,trail_stop
DRREDDY,2014-02-21,2014-03-26,505.2341604523224,489.0045666050896,19,-308.36228309742364,-3.212291471483818,trail_stop
DIVISLAB,2013-10-08,2014-03-27,476.5628512166438,604.9862753051789,20,2568.4684817707002,26.9478461782482,trail_stop
SONATSOFTW,2014-02-25,2014-03-27,12.158843704639157,10.499183316353209,822,-1364.2408391710487,-13.649820892530354,trail_stop
NATCOPHARM,2014-03-03,2014-04-01,155.4598123124484,128.0709010920282,64,-1752.8903181068927,-17.61800095665434,trail_stop
LTF,2014-02-26,2014-04-03,64.24823358288586,57.141307538023945,155,-1101.573536953596,-11.061667610975407,trail_stop
PAGEIND,2013-11-28,2014-04-07,4576.663302844418,5133.24441458826,2,1113.162223487685,12.161285961279361,trail_stop
NAUKRI,2013-10-08,2014-04-10,67.72086397871776,107.76874419640389,147,5887.03839199986,59.13669416602797,trail_stop
ZENSARTECH,2013-11-12,2014-04-10,51.40118474273216,61.943690202326835,194,2045.2460591613653,20.510238260773388,trail_stop
BATAINDIA,2014-03-12,2014-04-11,500.99869226354747,486.7104857470467,19,-271.4759238135157,-2.8519448727392276,trail_stop
IPCALAB,2014-01-09,2014-04-15,363.8266771354797,389.1300464528681,27,683.1909715694856,6.9547866903575155,trail_stop
CEATLTD,2014-03-14,2014-04-15,355.9864463462486,335.1578219111504,28,-583.2014841827495,-5.850959958975328,trail_stop
DLF,2014-03-12,2014-04-16,159.44633285667322,141.11869226103627,62,-1136.3137169294896,-11.494551343561913,trail_stop
BHEL,2014-03-26,2014-04-16,119.89792472208829,106.16595132412718,83,-1139.7537920307732,-11.453053445078803,trail_stop
ASIANPAINT,2014-03-20,2014-04-25,464.5927386094732,465.94987953314535,21,28.499959397115163,0.29211410572926205,trail_stop
GESHIP,2013-09-11,2014-04-28,173.11015017258703,224.67912164761447,57,2939.431374076563,29.78968675355794,trail_stop
KIRLOSENG,2014-01-15,2014-04-29,136.67057539573383,152.6075341749196,73,1163.3979908805613,11.660855844822356,trail_stop
CESC,2014-03-03,2014-04-29,29.057060135407596,27.925119728060086,344,-389.3875001275446,-3.895577880462115,trail_stop
BAJAJ-AUTO,2014-03-27,2014-04-29,1480.661292221424,1408.683977543123,6,-431.8638880698054,-4.8611600138687985,trail_stop
