symbol,entry_date,exit_date,entry_price,exit_price,shares,position_size,pnl,return_pct
BHEL,2024-01-18,2024-03-15,208.88523293694763,216.11395218277892,1350,281995.0644648793,9758.77098187228,3.4606176531460795
BANKBARODA,2024-02-02,2024-03-15,236.21403769021316,230.8848959801285,1278,301881.5401680924,-6810.643105488154,-2.256064780143854
ABSLAMC,2023-06-07,2024-03-19,354.59315551197,434.6567478927031,521,184743.03402173636,41713.13163036195,22.579001070997947
DRREDDY,2024-02-13,2024-03-19,1254.5669329874834,1210.1038763892243,236,296077.7961850461,-10493.281357189175,-3.544096008682449
HCLTECH,2024-02-13,2024-03-19,1529.2955947025177,1465.1565602929747,193,295154.0497775859,-12378.833641041769,-4.194024662839582
CIPLA,2024-01-24,2024-03-20,1369.5379361052098,1387.0338996861242,204,279385.73896546284,3569.1765705064754,1.2775085026611506
TATAINVEST,2023-09-29,2024-03-22,339.27669052381276,558.9066772460938,668,226636.8292699069,146712.8311304837,64.7347704268136
360ONE,2024-02-27,2024-03-22,755.4725952157902,650.0305893060792,413,312010.18182412133,-43547.54844071064,-13.957092100686056
TCS,2024-03-13,2024-03-22,3890.7386592590083,3585.401925358136,76,295696.13810368464,-23205.591776466288,-7.847783175419538
KAYNES,2023-02-22,2024-04-08,938.4500122070312,2550.0,176,165167.2021484375,283632.7978515625,171.72464881778328
ZYDUSLIFE,2024-02-13,2024-04-15,844.199740219913,919.1519957272483,351,296314.10881718947,26308.24168307468,8.878497817093654
OFSS,2024-03-27,2024-04-16,7908.912071265515,7102.283318205323,36,284720.8345655585,-29038.635110166913,-10.198984965211814
GODREJCP,2023-12-22,2024-04-18,1032.9838454338155,1116.0619959933938,256,264443.8644310568,21268.006543252035,8.042541122672493
TATACOMM,2024-04-03,2024-04-19,2001.9569026604352,1704.9461236980146,147,294287.66469108395,-43660.58450747581,-14.83602262205134
BOSCHLTD,2024-02-12,2024-04-22,24747.28655447674,28802.19993470326,12,296967.4386537209,48658.96056271822,16.385284791932033
SUNPHARMA,2024-03-07,2024-04-23,1580.536009926034,1456.8013947381428,193,305043.4499157246,-23880.78073126299,-7.8286489147236615
SAPPHIRE,2024-03-21,2024-04-23,315.79998779296875,282.0,888,280430.38916015625,-30014.38916015625,-10.70297311573275
MFSL,2024-03-28,2024-04-29,1024.5999755859375,983.9500122070312,280,286887.9931640625,-11381.98974609375,-3.9673984332919563
PIIND,2024-03-26,2024-04-30,3769.926151861124,3624.8469616967614,75,282744.4613895843,-10880.939262327214,-3.848329763508515
LT,2024-04-01,2024-05-06,3680.7467667272217,3387.27800562745,78,287098.2478047233,-22890.563365782145,-7.973076652613955
SRF,2024-03-22,2024-05-07,2541.245262205572,2395.093810386732,111,282078.2241048185,-16222.811151891248,-5.751174591152756
MANKIND,2024-03-28,2024-05-07,2349.074101388474,2259.109431980152,122,286587.0403693938,-10975.689667815284,-3.829792740686483
KALYANKJIL,2024-04-01,2024-05-07,435.6956001543036,385.50528959731537,664,289301.8785024576,-33326.36620984017,-11.519581684830667
CANBK,2024-03-06,2024-05-08,109.91558072885286,102.45441534228918,2825,310511.51555900933,-21077.792217042414,-6.788087127492316
TORNTPOWER,2024-03-27,2024-05-08,1349.7295253875022,1295.476430936613,212,286142.65938215045,-11501.656023588497,-4.01955306084849
JSWENERGY,2024-04-03,2024-05-08,541.2168625860094,560.0159699554608,543,293880.7563842031,10207.915301612113,3.4734888487447817
REDINGTON,2024-04-03,2024-05-08,214.38370012951245,195.74988668814777,1373,294348.8202778206,-25584.22585499368,-8.691805127958746
JIOFIN,2024-03-12,2024-05-09,359.4394953707487,345.86068646769036,844,303366.9340929119,-11460.514714181249,-3.7777731935251877
ADANIPORTS,2024-04-02,2024-05-09,1379.2767751371289,1233.4353452795046,212,292406.67632907134,-30918.383129816357,-10.573761009143697
AMBUJACEM,2024-04-03,2024-05-09,624.7074406559402,569.3535470417094,471,294237.20454894786,-26071.68389230274,-8.860770660280517
BAJAJFINSV,2024-04-09,2024-05-09,1693.0564445583395,1558.2572298739215,178,301364.04713138443,-23994.260213826434,-7.961885447923307
DLF,2023-10-09,2024-05-10,539.991721170681,821.0676997815755,425,229496.4814975394,119457.29090963016,52.05190516653343
BANKINDIA,2024-01-17,2024-05-13,120.0547856832337,115.48648814951001,2372,284769.9516406303,-10836.001749992545,-3.8051773677537435
ACE,2024-02-28,2024-05-13,1253.2365531418145,1340.2127093956306,248,310802.66517916997,21570.086750946415,6.940122839201458
BSE,2024-04-02,2024-05-13,898.3821529423631,862.5102372927815,326,292872.58185921033,-11694.244501763547,-3.992946156832531
SOLARINDS,2024-03-15,2024-05-16,8258.932028471007,8356.899756260704,34,280803.6889680142,3330.9027448497363,1.186203342659488
NUVAMA,2024-03-28,2024-05-16,900.7864853323641,910.2884374375108,318,286450.1023356918,3021.620769436646,1.0548506510553097
FORCEMOT,2024-02-29,2024-05-22,6370.661261457461,8530.66377088247,47,299421.07928850065,101520.11794297543,33.90546790633866
HEG,2024-04-03,2024-05-23,404.338492942992,443.8077948921005,728,294358.42286249815,28733.65181895101,9.761450526718301
EIHOTEL,2024-01-24,2024-05-27,296.01096319483344,440.0431837741601,947,280322.38214550726,136398.51288862235,48.65773180317147
SUNDARMFIN,2023-09-25,2024-05-28,2947.9350215865106,4223.432619720844,75,221095.1266189883,95662.31986007502,43.26749364536164
ASAHIINDIA,2024-05-07,2024-05-28,642.5005478129111,575.565171873591,489,314182.76788051357,-32731.398834327585,-10.417948462016103
SCHNEIDER,2024-03-07,2024-05-29,725.0,709.4000244140625,421,305225.0,-6567.5897216796875,-2.151720770474138
ICICIPRULI,2024-03-07,2024-05-30,572.6549754426566,550.7827449493675,534,305797.75688637863,-11679.771083416359,-3.819443020883918
HINDCOPPER,2024-04-02,2024-05-30,306.0408935546875,355.56207952045816,956,292575.09423828125,47342.25378327677,16.18123166174901
DMART,2024-03-22,2024-05-31,4159.7998046875,4392.9501953125,68,282866.38671875,15854.2265625,5.6048464246349745
ANANDRATHI,2023-07-06,2024-06-04,222.8529704534805,949.169299245349,892,198784.8496445046,647874.1652823467,325.91727510470116
ONGC,2023-11-07,2024-06-04,166.72529933162593,222.5158563787287,1378,229747.46247898054,76879.38761090761,33.46256223306112
CUMMINSIND,2024-02-06,2024-06-04,2282.5443106296843,3176.4582024749852,134,305860.9376243777,119784.46150727029,39.16304659157731
HDFCAMC,2024-02-14,2024-06-04,1769.662197125405,1655.460017112378,167,295533.58691994264,-19071.764062175527,-6.453332178227815
KEC,2024-02-29,2024-06-04,719.0547078754122,722.0219431510825,424,304879.19613917475,1258.1077568842447,0.41265779128790714
KPIL,2024-03-12,2024-06-04,1079.1564080543678,1053.3355065425724,281,303242.95066327736,-7255.673324814532,-2.3926931554202135
MARUTI,2024-03-21,2024-06-04,11759.44796688455,11936.835001970685,23,270467.30323834467,4079.90180698107,1.508463965193503
INDUSTOWER,2024-03-27,2024-06-04,283.6499938964844,319.29998779296875,1010,286486.4938354492,36006.49383544922,12.568304129593788
GRASIM,2024-04-01,2024-06-04,2282.890625790378,2241.5999320512096,126,287644.21884958766,-5202.6274111352395,-1.80870223359356
ABCAPITAL,2024-04-03,2024-06-04,200.0,207.9499969482422,1472,294400.0,11702.3955078125,3.9749984741210933
ASTRAL,2024-05-13,2024-06-04,2164.538389279306,2010.3762751107045,141,305199.91288838215,-21736.858097772812,-7.122170479033664
ADANIPOWER,2023-11-29,2024-07-08,91.33999633789062,139.61000061035156,2710,247531.3900756836,130811.71157836914,52.84651435051247
ADANIENT,2024-05-24,2024-07-08,3401.4609611204814,3113.0141436423673,96,326540.2522675662,-27690.894477898953,-8.48008607992656
TATASTEEL,2024-04-02,2024-07-10,152.93761586285498,162.76909536932962,1915,292875.5343773673,18827.28325489891,6.428424721417712
AUBANK,2024-06-06,2024-07-10,668.1182340303504,624.2418526163884,477,318692.39763247716,-20929.033934459905,-6.567158203314191
M&M,2024-06-06,2024-07-10,2703.3282528164086,2735.9688823290912,117,316289.4055795198,3818.9536529838806,1.2074238294471547
ESCORTS,2024-05-14,2024-07-11,3544.261480381926,3934.053790861579,86,304806.48731284565,33522.13870125014,10.997842925450554
LODHA,2023-11-03,2024-07-12,852.1901720933431,1409.272799916847,264,224978.20543264257,147069.81374540503,65.37069378013021
ABB,2024-03-05,2024-07-12,5525.256781602735,8100.740914233399,56,309414.37976975314,144227.1114273172,46.61293102623156
TIMKEN,2024-05-10,2024-07-12,3434.304951187668,4001.0841604691686,88,302218.83570451476,49876.5704167721,16.503461903856113
ABREL,2023-05-16,2024-07-15,804.071965252889,2145.075799033694,220,176895.83235563556,295020.8434317771,166.77659360490767
KPRMILL,2024-03-27,2024-07-15,831.2723553256675,831.5732443529541,344,285957.6902320296,103.50582538661547,0.036196202767839386
NETWEB,2024-05-14,2024-07-15,2090.5686635181787,2395.1803245860065,146,305223.02487365407,44473.30251590285,14.570756100170493
GALLANTT,2023-12-21,2024-07-18,122.96675213211421,302.3389049246204,2111,259582.81375089308,378654.6145449806,145.87044846056486
HAL,2024-03-06,2024-07-18,3169.579114521793,4902.92436958036,97,307449.1741086139,168134.48974068096,54.68692190445871
SIEMENS,2024-03-26,2024-07-18,2919.753370765591,4168.130534534527,97,283216.07696426235,121092.58488558681,42.75625387638813
KEI,2024-03-27,2024-07-18,3522.5098355388486,4255.001969922728,81,285323.29667864676,59331.86288509419,20.794608633699596
THERMAX,2024-03-27,2024-07-18,4071.27824073437,4960.535408759213,70,284989.47685140587,62248.001761739084,21.842210614041488
JINDALSTEL,2024-04-02,2024-07-18,871.4437444240517,980.9468775455981,336,292805.0981264814,36793.05272883957,12.565714519405763
