entry_date,exit_date,hold_days,direction,entry_z,exit_z,exit_reason,entry_pa,exit_pa,entry_pb,exit_pb,pnl_a,pnl_b,cost,net_pnl,year
2018-11-19,2019-02-15,61,LongNTPC-ShortPOWERGRID,-2.526,-0.035,reversion,94.81,86.7,71.33,68.24,-26335.36,6474.77,308.06,-20168.66,2019
2019-03-01,2019-03-05,1,ShortNTPC-LongPOWERGRID,2.881,4.363,stop-loss,91.0,93.55,68.88,68.81,-8272.71,-157.94,310.7,-8741.35,2019
2019-03-08,2019-04-03,16,ShortNTPC-LongPOWERGRID,4.139,0.448,reversion,96.85,102.94,70.31,77.89,-19771.71,15911.4,336.0,-4196.3,2019
2020-01-14,2020-02-07,18,ShortNTPC-LongPOWERGRID,2.651,-0.117,reversion,96.25,90.09,76.59,74.68,20010.02,-3995.03,323.95,15691.03,2020
2020-03-02,2020-04-08,24,LongNTPC-ShortPOWERGRID,-2.539,-0.383,reversion,80.98,66.82,71.98,64.4,-46003.23,15915.97,266.85,-30354.11,2020
2020-08-20,2020-09-04,11,ShortNTPC-LongPOWERGRID,2.955,0.406,reversion,81.73,76.56,73.69,72.82,16815.44,-1827.65,288.49,14699.3,2020
2020-11-03,2020-11-27,18,LongNTPC-ShortPOWERGRID,-3.118,0.171,reversion,69.48,76.56,74.86,80.04,22989.77,-10876.27,280.58,11832.92,2020
2020-12-07,2020-12-15,6,ShortNTPC-LongPOWERGRID,2.749,4.071,stop-loss,80.64,85.57,80.5,80.2,-16027.16,-611.55,306.35,-16945.06,2020
2021-02-26,2021-03-17,12,ShortNTPC-LongPOWERGRID,2.524,0.332,reversion,89.43,88.81,91.48,95.85,2031.6,9168.55,340.99,10859.15,2021
2021-07-02,2021-08-04,22,ShortNTPC-LongPOWERGRID,2.502,0.424,reversion,97.93,98.23,99.11,101.59,-948.08,5219.46,370.86,3900.52,2021
2021-09-15,2021-09-16,1,ShortNTPC-LongPOWERGRID,5.588,4.155,stop-loss,106.41,106.24,104.95,105.86,556.91,1920.2,396.96,2080.15,2021
2021-09-21,2021-10-12,15,ShortNTPC-LongPOWERGRID,3.101,0.423,reversion,106.33,123.85,103.77,114.06,-56943.21,21617.88,420.16,-35745.49,2021
2021-11-22,2021-11-23,1,LongNTPC-ShortPOWERGRID,-3.451,-4.642,stop-loss,111.51,114.38,114.56,119.08,9328.18,-9477.2,428.67,-577.69,2021
2021-11-26,2021-12-28,22,LongNTPC-ShortPOWERGRID,-3.595,-0.499,reversion,110.39,106.33,119.17,125.54,-13226.38,-13392.5,425.05,-27043.93,2021
2022-01-31,2022-02-24,18,ShortNTPC-LongPOWERGRID,2.83,0.413,reversion,121.7,109.69,131.53,119.93,39043.94,-24351.23,448.77,14243.94,2022
2022-04-05,2022-04-18,7,ShortNTPC-LongPOWERGRID,3.031,4.3,stop-loss,131.47,143.9,146.26,145.03,-40406.6,-2570.05,525.19,-43501.83,2022
2022-04-21,2022-05-04,8,ShortNTPC-LongPOWERGRID,3.1,0.107,reversion,143.46,139.89,142.62,149.11,11606.14,13640.52,538.0,24708.66,2022
2022-09-06,2022-09-15,7,ShortNTPC-LongPOWERGRID,2.508,0.189,reversion,151.38,157.36,142.62,150.58,-19422.49,16702.3,566.56,-3286.75,2022
2022-09-22,2022-09-23,1,ShortNTPC-LongPOWERGRID,2.798,5.572,stop-loss,151.56,147.34,139.49,128.37,13727.2,-23356.76,536.39,-10165.95,2022
2022-11-01,2022-11-17,11,ShortNTPC-LongPOWERGRID,2.681,0.197,reversion,163.38,151.25,149.03,141.66,39429.21,-15476.38,572.73,23380.1,2022
2023-02-21,2023-02-28,5,ShortNTPC-LongPOWERGRID,3.297,0.367,reversion,159.76,157.23,144.27,147.62,8241.84,7044.05,575.88,14710.0,2023
2023-04-17,2023-05-03,11,LongNTPC-ShortPOWERGRID,-5.133,-0.391,reversion,156.4,162.62,157.19,159.21,20229.73,-4254.28,596.24,15379.21,2023
2023-06-12,2023-06-22,8,ShortNTPC-LongPOWERGRID,3.183,0.397,reversion,171.24,170.14,160.51,168.41,3596.39,16598.86,631.09,19564.17,2023
2023-07-04,2023-08-01,20,ShortNTPC-LongPOWERGRID,2.593,5.813,stop-loss,178.94,207.62,165.79,167.25,-93206.75,3068.74,680.0,-90818.01,2023
2024-01-24,2024-01-31,4,LongNTPC-ShortPOWERGRID,-2.806,-4.204,stop-loss,291.58,299.75,226.61,238.67,26540.64,-25321.38,1014.68,204.58,2024
2024-02-05,2024-03-01,19,LongNTPC-ShortPOWERGRID,-4.038,-0.069,reversion,317.31,327.46,260.39,269.24,32996.31,-18575.78,1123.42,13297.1,2024
2024-03-20,2024-03-26,3,LongNTPC-ShortPOWERGRID,-2.534,-0.08,reversion,299.0,313.73,247.67,252.72,47867.97,-10612.41,1066.64,36188.93,2024
2024-04-03,2024-04-22,11,ShortNTPC-LongPOWERGRID,2.618,-0.193,reversion,334.85,326.89,262.13,265.45,25870.37,6976.57,1142.14,31704.8,2024
2024-07-24,2024-07-31,5,ShortNTPC-LongPOWERGRID,3.039,4.027,stop-loss,392.65,415.85,337.05,349.2,-75400.0,25515.0,1421.57,-51306.57,2024
2024-08-05,2024-09-11,26,ShortNTPC-LongPOWERGRID,2.951,0.344,reversion,411.5,390.3,342.85,333.0,68900.0,-20685.0,1411.21,46803.79,2024
2024-11-18,2025-01-15,40,LongNTPC-ShortPOWERGRID,-2.515,-0.464,reversion,366.95,322.85,312.0,298.65,-143325.0,28035.0,1227.71,-116517.71,2025
2026-01-01,2026-01-02,1,ShortNTPC-LongPOWERGRID,3.682,7.45,stop-loss,336.1,351.65,267.55,271.15,-50537.5,7560.0,1176.11,-44153.61,2026
