entry_date,exit_date,hold_days,direction,entry_z,exit_z,exit_reason,entry_pa,exit_pa,entry_pb,exit_pb,pnl_a,pnl_b,cost,net_pnl,year
2018-04-16,2018-05-24,27,ShortTCS-LongINFY,2.29,0.256,reversion,1291.41,1459.96,455.28,490.55,-25283.07,14109.99,276.31,-11449.39,2018
2018-07-11,2018-07-24,9,ShortTCS-LongINFY,2.353,0.391,reversion,1617.58,1636.47,543.51,566.85,-2834.33,9335.38,326.61,6174.44,2018
2018-09-21,2018-09-24,1,ShortTCS-LongINFY,2.031,3.558,stop-loss,1721.73,1799.75,580.62,591.28,-11702.56,4264.38,348.57,-7786.76,2018
2018-09-27,2018-10-04,4,ShortTCS-LongINFY,2.361,0.321,reversion,1791.89,1690.34,596.67,582.19,15233.06,-5795.43,348.33,9089.29,2018
2018-10-17,2018-10-24,4,LongTCS-ShortINFY,-2.501,-0.486,reversion,1579.5,1516.45,580.66,534.93,-9456.19,18292.11,319.16,8516.76,2018
2019-01-10,2019-01-14,2,LongTCS-ShortINFY,-2.063,-4.89,stop-loss,1549.31,1487.54,565.64,584.11,-9266.03,-7389.82,319.57,-16975.42,2019
2019-04-15,2019-05-14,17,ShortTCS-LongINFY,2.671,0.387,reversion,1737.4,1720.18,608.75,597.33,2583.53,-4568.77,350.27,-2335.52,2019
2019-06-03,2019-07-05,23,ShortTCS-LongINFY,2.326,0.422,reversion,1843.46,1792.74,623.1,609.28,7608.18,-5525.12,363.54,1719.52,2019
2019-07-15,2019-07-16,1,LongTCS-ShortINFY,-3.898,-4.375,stop-loss,1778.32,1749.49,661.35,666.01,-4323.94,-1866.87,370.73,-6561.54,2019
2019-07-19,2019-07-30,7,LongTCS-ShortINFY,-2.723,-0.049,reversion,1725.36,1810.26,666.48,672.67,12734.86,-2477.86,373.61,9883.39,2019
2019-09-23,2019-10-18,17,LongTCS-ShortINFY,-2.86,-0.192,reversion,1674.56,1747.5,648.62,651.59,10941.56,-1188.01,362.17,9391.37,2019
2019-10-30,2019-11-08,7,ShortTCS-LongINFY,2.203,0.052,reversion,1913.52,1809.17,567.63,608.49,15652.33,16343.29,361.7,31633.92,2019
2019-12-19,2020-01-20,21,ShortTCS-LongINFY,2.401,-0.353,reversion,1893.34,1843.49,628.0,660.3,7478.96,12923.41,377.57,20024.81,2020
2020-01-31,2020-02-10,6,LongTCS-ShortINFY,-2.304,-0.309,reversion,1769.95,1840.52,666.75,664.39,10586.22,945.21,376.48,11154.95,2020
2020-02-28,2020-03-05,4,LongTCS-ShortINFY,-2.551,-0.452,reversion,1702.78,1809.11,628.73,648.4,15949.53,-7870.92,363.58,7715.03,2020
2020-03-09,2020-03-12,2,LongTCS-ShortINFY,-2.564,-4.554,stop-loss,1679.11,1506.72,605.31,542.37,-25858.96,25176.54,327.9,-1010.32,2020
2020-05-21,2020-05-29,5,ShortTCS-LongINFY,2.384,0.487,reversion,1707.54,1691.38,577.6,601.84,2424.74,9694.58,344.17,11775.15,2020
2020-06-04,2020-06-18,10,ShortTCS-LongINFY,2.085,-0.143,reversion,1798.87,1752.9,616.42,621.78,6895.53,2142.63,360.27,8677.89,2020
2020-07-13,2020-07-15,2,LongTCS-ShortINFY,-2.314,-3.868,stop-loss,1909.34,1921.3,694.2,723.73,1793.23,-11810.25,399.12,-10416.15,2020
2020-07-20,2020-07-28,6,LongTCS-ShortINFY,-4.316,-0.094,reversion,1903.2,1990.99,813.74,838.61,13169.09,-9946.39,435.93,2786.77,2020
2020-09-08,2020-09-14,4,ShortTCS-LongINFY,2.031,4.011,stop-loss,2024.14,2147.57,818.1,852.15,-18515.55,13621.9,452.6,-5346.26,2020
2020-09-22,2020-09-24,2,ShortTCS-LongINFY,2.692,0.092,reversion,2174.77,2010.39,877.5,849.54,24657.28,-11183.18,462.18,13011.92,2020
2020-10-05,2020-10-15,8,ShortTCS-LongINFY,3.811,-0.431,reversion,2332.38,2372.45,913.38,965.25,-6010.44,20746.39,510.75,14225.2,2020
2020-10-21,2020-10-28,5,LongTCS-ShortINFY,-3.019,-0.479,reversion,2316.01,2269.96,1000.17,947.71,-6907.95,20985.01,514.17,13562.89,2020
2021-01-05,2021-01-11,4,ShortTCS-LongINFY,2.388,-0.211,reversion,2677.52,2749.76,1138.96,1211.5,-10836.04,29015.28,614.9,17564.34,2021
2021-01-14,2021-01-18,2,ShortTCS-LongINFY,2.555,4.206,stop-loss,2819.39,2794.28,1206.48,1155.02,3766.37,-20581.98,624.49,-17440.1,2021
2021-01-21,2021-02-09,12,ShortTCS-LongINFY,2.409,0.497,reversion,2839.47,2755.38,1179.36,1149.3,12612.85,-12025.1,619.77,-32.02,2021
2021-03-08,2021-03-23,10,LongTCS-ShortINFY,-2.07,-0.418,reversion,2607.98,2725.63,1175.89,1207.4,17647.85,-12606.15,613.93,4427.77,2021
2021-07-06,2021-08-03,19,LongTCS-ShortINFY,-2.458,-0.457,reversion,2843.29,2869.23,1390.08,1472.83,3891.8,-33101.27,699.25,-29908.73,2021
2021-08-13,2021-09-24,28,ShortTCS-LongINFY,2.139,0.195,reversion,3025.15,3381.43,1523.55,1569.51,-53442.74,18383.74,767.62,-35826.62,2021
2022-01-04,2022-03-24,54,ShortTCS-LongINFY,2.014,-0.345,reversion,3399.69,3287.4,1704.88,1693.7,16843.4,-4470.65,827.49,11545.25,2022
2022-05-25,2022-05-30,3,LongTCS-ShortINFY,-2.43,-0.411,reversion,2795.71,2978.93,1266.17,1370.62,27483.54,-41779.2,671.6,-14967.26,2022
2022-06-14,2022-06-23,7,LongTCS-ShortINFY,-2.132,-0.14,reversion,2833.57,2920.28,1306.89,1317.68,13007.04,-4318.26,669.95,8018.83,2022
2022-07-11,2022-07-18,5,LongTCS-ShortINFY,-3.307,-3.773,stop-loss,2748.18,2710.92,1336.46,1351.66,-5588.6,-6078.42,662.36,-12329.37,2022
2022-07-21,2022-08-11,14,LongTCS-ShortINFY,-2.793,0.074,reversion,2811.63,3028.61,1390.67,1469.64,32547.0,-31589.06,707.1,250.83,2022
2022-10-25,2022-11-04,7,LongTCS-ShortINFY,-2.395,-0.254,reversion,2805.42,2854.48,1384.68,1388.53,7359.41,-1540.67,685.68,5133.05,2022
2022-12-01,2022-12-09,6,ShortTCS-LongINFY,2.229,-0.079,reversion,3083.6,2921.33,1519.77,1439.25,24340.39,-32209.42,729.13,-8598.16,2022
2022-12-14,2022-12-19,3,ShortTCS-LongINFY,2.023,-0.023,reversion,2985.74,2840.86,1448.51,1382.43,21731.98,-26431.64,701.99,-5401.65,2022
2022-12-21,2023-01-04,10,ShortTCS-LongINFY,2.192,3.72,stop-loss,2899.86,2940.76,1384.45,1370.92,-6134.99,-5411.04,691.81,-12237.83,2023
2023-01-09,2023-03-20,48,ShortTCS-LongINFY,3.194,0.416,reversion,2945.46,2852.13,1361.43,1287.33,14000.28,-29641.5,674.42,-16315.64,2023
2023-04-17,2023-04-18,1,ShortTCS-LongINFY,6.88,4.38,stop-loss,2848.68,2840.74,1154.02,1154.98,1190.84,385.21,622.03,954.02,2023
2023-04-21,2023-06-06,31,ShortTCS-LongINFY,3.794,0.158,reversion,2868.05,2932.88,1125.64,1188.77,-9724.69,25254.3,629.34,14900.26,2023
2023-07-14,2023-07-18,2,ShortTCS-LongINFY,3.233,-0.071,reversion,3212.79,3196.52,1325.36,1371.13,2440.69,18310.25,715.03,20035.91,2023
2023-07-21,2023-08-16,17,ShortTCS-LongINFY,2.007,-0.158,reversion,3087.02,3169.6,1237.66,1318.43,-12386.28,32307.81,687.32,19234.21,2023
2023-08-31,2023-09-11,7,LongTCS-ShortINFY,-2.287,-0.257,reversion,3076.48,3189.99,1334.19,1372.29,17026.1,-15243.12,707.99,1075.0,2023
2023-12-12,2023-12-14,2,ShortTCS-LongINFY,2.021,0.422,reversion,3374.16,3369.7,1389.68,1413.59,668.52,9565.43,747.02,9486.93,2023
2024-01-11,2024-01-15,2,ShortTCS-LongINFY,2.418,-3.516,stop-loss,3432.46,3587.06,1406.77,1555.43,-23189.94,59464.21,785.05,35489.22,2024
2024-01-24,2024-01-25,1,LongTCS-ShortINFY,-3.805,-3.566,stop-loss,3554.68,3525.54,1577.36,1571.43,-4371.86,2372.61,812.44,-2811.7,2024
2024-01-31,2024-02-02,2,LongTCS-ShortINFY,-2.067,-0.291,reversion,3530.76,3669.88,1563.71,1594.26,20867.1,-12220.41,820.58,7826.11,2024
2024-02-08,2024-02-20,8,ShortTCS-LongINFY,2.428,0.189,reversion,3825.14,3729.42,1593.09,1586.64,14357.85,-2579.64,842.36,10935.85,2024
2024-03-06,2024-04-15,24,ShortTCS-LongINFY,2.071,0.462,reversion,3760.55,3646.65,1522.9,1382.24,17085.06,-56263.18,793.64,-39971.76,2024
2024-05-28,2024-06-18,14,ShortTCS-LongINFY,2.526,-0.065,reversion,3836.9,3819.0,1463.0,1499.0,2685.0,14400.0,817.47,16267.53,2024
2024-07-10,2024-07-22,7,LongTCS-ShortINFY,-2.691,0.216,reversion,3915.0,4282.1,1645.0,1810.0,55065.0,-66000.0,913.5,-11848.5,2024
2024-08-19,2024-08-28,7,ShortTCS-LongINFY,2.897,0.147,reversion,4490.0,4513.0,1865.4,1938.0,-3450.0,29040.0,1006.41,24583.59,2024
2024-09-18,2024-11-06,33,LongTCS-ShortINFY,-2.021,-0.42,reversion,4347.9,4143.0,1892.5,1825.65,-30735.0,26740.0,966.11,-4961.11,2024
2025-01-07,2025-01-10,3,LongTCS-ShortINFY,-2.177,-0.229,reversion,4031.0,4265.0,1929.0,1965.8,35100.0,-14720.0,981.83,19398.17,2025
2025-03-12,2025-04-04,15,ShortTCS-LongINFY,2.523,0.266,reversion,3507.8,3300.0,1590.05,1456.0,31170.0,-53620.0,782.73,-23232.73,2025
2025-06-11,2025-08-05,39,LongTCS-ShortINFY,-2.05,-0.479,reversion,3470.5,3060.0,1628.0,1460.0,-61575.0,67200.0,775.45,4849.55,2025
2025-09-25,2025-10-20,16,LongTCS-ShortINFY,-2.325,-0.121,reversion,2958.0,3016.3,1491.2,1462.7,8745.0,11400.0,728.2,19416.8,2025
2026-01-13,2026-01-16,2,ShortTCS-LongINFY,2.081,-5.49,stop-loss,3263.0,3209.0,1600.0,1689.1,8100.0,35640.0,802.44,42937.56,2026
2026-01-21,2026-02-03,9,LongTCS-ShortINFY,-3.584,-0.227,reversion,3122.0,3220.0,1655.1,1654.7,14700.0,160.0,797.07,14062.93,2026
2026-02-04,2026-02-23,13,LongTCS-ShortINFY,-2.224,-0.01,reversion,2999.9,2674.0,1534.0,1328.0,-48885.0,82400.0,700.24,32814.76,2026
2026-04-24,2026-05-12,11,ShortTCS-LongINFY,2.091,0.065,reversion,2401.0,2303.5,1154.8,1139.7,14625.0,-6040.0,568.65,8016.35,2026
