entry_date,exit_date,hold_days,direction,entry_z,exit_z,exit_reason,entry_pa,exit_pa,entry_pb,exit_pb,pnl_a,pnl_b,cost,net_pnl,regime
2018-11-26,2018-11-28,2,ShortTCS-LongINFY,2.131,3.58,stop-loss,1514.49,1627.53,517.16,554.57,-16957.1,14962.84,314.9,-2309.16,active
2018-12-03,2018-12-07,4,ShortTCS-LongINFY,1.872,-0.019,reversion,1626.3,1636.8,557.86,568.22,-1575.04,4144.34,329.09,2240.21,active
2018-12-13,2018-12-14,1,LongTCS-ShortINFY,-3.53,-3.067,stop-loss,1626.47,1632.33,580.66,587.57,879.8,-2762.84,334.54,-2217.58,active
2018-12-27,2019-01-11,11,LongTCS-ShortINFY,-1.591,-3.266,stop-loss,1566.05,1511.57,546.58,568.8,-8170.92,-8887.87,316.88,-17375.66,active
2019-01-21,2019-01-23,2,ShortTCS-LongINFY,1.661,-0.248,reversion,1569.2,1541.98,619.98,608.87,4081.88,-4443.87,335.36,-697.35,active
2019-01-25,2019-01-29,2,ShortTCS-LongINFY,1.53,3.112,stop-loss,1579.14,1630.08,611.13,609.08,-7639.65,-819.97,338.89,-8798.52,active
2019-04-09,2019-04-10,1,ShortTCS-LongINFY,1.9,-0.097,reversion,1719.48,1677.35,636.44,629.83,6320.09,-2644.17,355.8,3320.13,active
2019-04-15,2019-04-16,1,ShortTCS-LongINFY,4.027,3.543,stop-loss,1737.4,1752.61,608.75,605.9,-2281.37,-1138.01,353.11,-3772.48,active
2019-04-23,2019-05-03,6,ShortTCS-LongINFY,1.82,-0.344,reversion,1771.73,1752.78,609.33,605.48,2842.55,-1539.65,355.18,947.72,active
2020-04-23,2020-04-24,1,ShortTCS-LongINFY,1.523,0.418,reversion,1610.68,1559.49,583.7,565.4,7679.33,-7320.92,327.33,31.09,active
2020-05-04,2020-05-08,4,ShortTCS-LongINFY,2.002,0.059,reversion,1655.45,1623.67,578.89,579.32,4765.8,171.9,334.55,4603.15,active
2020-05-14,2020-05-26,7,ShortTCS-LongINFY,2.27,0.133,reversion,1631.35,1666.21,565.53,584.77,-5228.87,7699.05,334.29,2135.89,active
2020-06-01,2020-06-08,5,ShortTCS-LongINFY,1.713,-0.214,reversion,1753.89,1781.84,609.28,627.83,-4192.05,7420.61,358.98,2869.57,active
2020-06-10,2020-06-16,4,ShortTCS-LongINFY,1.781,0.195,reversion,1813.66,1759.52,623.48,610.72,8121.09,-5103.83,360.53,2656.73,active
2020-06-23,2020-06-26,3,LongTCS-ShortINFY,-2.291,-0.186,reversion,1750.49,1822.35,627.66,651.66,10778.8,-9598.0,366.74,814.06,active
2020-07-02,2020-07-06,2,ShortTCS-LongINFY,1.761,4.788,stop-loss,1855.29,1946.5,658.97,665.42,-13681.49,2578.12,384.45,-11487.82,active
2020-07-13,2020-07-15,2,LongTCS-ShortINFY,-1.709,-3.599,stop-loss,1909.34,1921.3,694.2,723.73,1793.23,-11810.25,399.12,-10416.15,active
2020-07-20,2020-07-21,1,LongTCS-ShortINFY,-2.196,-1.099,regime-break,1903.2,1917.98,813.74,815.88,2217.48,-853.56,428.83,935.09,active
2021-01-18,2021-02-04,12,ShortTCS-LongINFY,3.026,0.381,reversion,2794.28,2765.4,1155.02,1126.24,4332.28,-11514.6,610.9,-7793.22,active
2021-02-15,2021-02-18,3,LongTCS-ShortINFY,-2.944,-3.204,stop-loss,2723.25,2651.69,1152.91,1137.77,-10733.13,6056.74,602.65,-5279.04,active
2021-02-23,2021-03-03,6,LongTCS-ShortINFY,-2.072,-3.159,stop-loss,2584.78,2653.21,1114.79,1182.75,10264.75,-27184.42,595.81,-17515.48,active
2021-03-08,2021-03-16,5,LongTCS-ShortINFY,-1.694,0.114,reversion,2607.98,2697.4,1175.89,1218.36,13413.02,-16990.19,613.55,-4190.71,active
2021-04-30,2021-05-05,3,LongTCS-ShortINFY,-2.704,-0.01,reversion,2632.87,2684.95,1192.26,1180.95,7812.27,4524.8,612.05,11725.02,active
2021-07-26,2021-08-02,5,LongTCS-ShortINFY,-1.759,0.449,reversion,2792.94,2812.02,1427.18,1451.79,2862.67,-9841.46,696.97,-7675.75,active
2021-08-03,2021-08-13,8,ShortTCS-LongINFY,2.083,3.629,stop-loss,2869.23,3025.15,1472.83,1523.55,-23386.85,20287.84,728.79,-3827.8,active
2021-08-18,2021-08-23,2,ShortTCS-LongINFY,2.231,3.155,stop-loss,3110.0,3177.13,1542.46,1547.17,-10068.68,1886.43,762.21,-8944.46,active
2022-06-14,2022-06-20,4,LongTCS-ShortINFY,-2.823,-3.235,stop-loss,2833.57,2746.94,1306.89,1282.94,-12993.82,9580.22,655.38,-4068.98,active
2022-06-24,2022-06-27,1,ShortTCS-LongINFY,1.689,-0.162,reversion,2906.43,2925.49,1307.38,1337.78,-2859.41,12156.59,676.96,8620.22,active
2023-01-03,2023-01-04,1,ShortTCS-LongINFY,2.521,3.863,stop-loss,2937.83,2940.76,1396.37,1370.92,-439.16,-10180.13,695.52,-11314.8,active
2023-01-09,2023-01-16,5,ShortTCS-LongINFY,2.397,3.422,stop-loss,2945.46,3025.21,1361.43,1399.08,-11961.84,15059.23,700.09,2397.3,active
2023-01-19,2023-01-30,6,ShortTCS-LongINFY,1.605,1.226,regime-break,3060.64,3115.58,1411.37,1411.28,-8241.17,-36.67,719.01,-8996.85,active
2023-10-09,2023-10-20,9,ShortTCS-LongINFY,1.658,-0.202,reversion,3334.52,3211.01,1371.36,1326.56,18525.66,-17919.82,721.38,-115.55,active
2023-10-23,2023-10-31,5,LongTCS-ShortINFY,-2.101,-0.104,reversion,3133.46,3095.42,1309.28,1288.33,-5706.15,8379.25,690.81,1982.28,active
2023-11-03,2023-11-17,9,LongTCS-ShortINFY,-2.339,0.445,reversion,3079.02,3218.27,1307.77,1353.43,20888.09,-18264.84,703.31,1919.93,active
2023-12-06,2023-12-07,1,ShortTCS-LongINFY,2.276,3.208,stop-loss,3311.68,3321.6,1388.03,1380.12,-1488.5,-3163.43,735.56,-5387.48,active
2023-12-12,2023-12-14,2,ShortTCS-LongINFY,3.496,-0.03,reversion,3374.16,3369.7,1389.68,1413.59,668.52,9565.43,747.02,9486.93,active
2024-01-04,2024-01-18,10,LongTCS-ShortINFY,-1.988,-0.054,reversion,3369.29,3585.96,1424.18,1546.48,32500.2,-48919.63,780.22,-17199.66,active
2024-01-24,2024-02-01,5,LongTCS-ShortINFY,-2.744,0.011,reversion,3554.68,3566.11,1577.36,1560.09,1714.05,6910.5,813.52,7811.03,active
