A,B,lotA,lotB_lots,lotB_unit,beta,r2,stat,pval,level,hl,imb,margin,viable,rev,rows,sector
LUPIN,IPCALAB,1000,1,700,-0.272,0.064,-0.891,0.791,FAIL,586.6,157.3,293587,False,False,2318,Pharma
LUPIN,GLENMARK,1000,1,1800,1.5811,0.772,-3.313,0.0143,5%,74.7,13.8,408822,True,False,2318,Pharma
BIOCON,DIVISLAB,2700,1,200,0.0524,0.447,-0.84,0.8072,FAIL,616.5,41.4,1476080,False,True,2318,Pharma
DIVISLAB,ALKEM,200,1,300,1.1701,0.703,-1.458,0.5542,FAIL,254.8,28.2,298614,False,False,2078,Pharma
DIVISLAB,TORNTPHARM,200,1,500,2.1682,0.697,-0.936,0.7757,FAIL,379.5,15.3,268432,False,False,2318,Pharma
DIVISLAB,IPCALAB,200,1,700,3.8097,0.906,-3.212,0.0193,5%,67.9,8.1,215554,True,False,2318,Pharma
GLENMARK,DIVISLAB,1800,1,200,-0.0475,0.101,-0.083,0.9511,FAIL,8369.5,133.7,1003520,False,True,2318,Pharma
AUROPHARMA,BIOCON,3500,1,2700,0.2797,0.035,-1.115,0.7089,FAIL,264.5,175.8,596670,False,False,2318,Pharma
AUROPHARMA,ALKEM,3500,1,300,0.0764,0.2,-1.992,0.2902,FAIL,141.2,12.2,681168,False,False,2078,Pharma
AUROPHARMA,TORNTPHARM,3500,1,500,0.1444,0.224,-2.013,0.2807,FAIL,140.8,1.0,650986,False,False,2318,Pharma
AUROPHARMA,IPCALAB,3500,1,700,0.1834,0.152,-1.697,0.4324,FAIL,170.9,9.0,598108,False,False,2318,Pharma
AUROPHARMA,GLENMARK,3500,1,1800,0.4108,0.272,-2.049,0.2653,FAIL,140.7,25.2,713343,False,False,2318,Pharma
ALKEM,BIOCON,300,1,2700,4.5551,0.184,-1.991,0.2907,FAIL,212.9,97.6,1720383,False,True,2078,Pharma
BIOCON,TORNTPHARM,2700,1,500,0.0956,0.221,-1.284,0.6364,FAIL,347.8,93.7,265025,False,False,2318,Pharma
