,A,B
2025-05-30,377482119.3736816,252021674.44589794
2025-06-30,400186221.8984007,267179812.12024647
2025-07-31,391264836.69719,261223550.03155062
2025-08-29,384269742.8506059,256553354.61395755
2025-09-30,385850061.44554925,253787157.60669908
2025-10-31,387762843.571896,252270782.3088831
2025-11-28,386748495.41302973,251610867.60118797
2025-12-31,386902355.896375,251710966.16695672
2026-01-30,375563430.4337741,244334087.1172702
2026-02-27,376867398.1250561,244729337.10189363
2026-03-30,378735650.3172049,252907214.9274926
2026-04-30,380613164.03282547,241061218.81303298
2026-05-29,382377973.0207197,241796860.8064488
2026-06-18,383599848.1145412,240428959.60278904
