,A) ,B) ,C) ,D) 
2018-09-28,26003204.564050876,23772786.46351112,24176695.09090177,26457758.22877904
2018-10-31,26114308.753060102,23831989.728966363,24144017.319135778,26196005.399590578
2018-11-30,26239579.699768636,23746622.638464883,24045409.55336075,26073991.378327444
2018-12-31,26369657.686187852,23646055.78866697,23909392.181339897,25874323.453225017
2019-01-31,26500380.510776907,24029096.912974484,24478571.24988542,26652401.015586805
2019-02-28,26386519.674438987,23929210.071477737,24377571.84258685,26542343.793720867
2019-03-28,27886389.247632645,25289400.598291967,25763248.268510424,28051070.762969952
2019-04-30,27669498.46472119,25092708.3034804,25562870.548839375,27832899.14364485
2019-05-31,28143924.04033134,25522951.829421952,26001175.550639242,28310126.413013656
2019-06-28,27924646.060095202,25324094.650913384,25798592.383830715,28089553.49890335
2019-07-31,25990267.418001495,23569859.781913947,24011488.404214714,26143751.49169817
2019-08-30,26088828.392204054,23673324.134462148,24250545.339191508,26417503.568439715
2019-09-30,26218159.056190427,23478008.11620801,24044105.580863714,26122249.054683313
2019-10-31,27097660.1390571,24267223.249188468,24852437.133007213,27000679.658372577
2019-11-29,27602123.771008205,24718994.048395198,25315102.5673885,27503337.853054818
2019-12-31,28475476.583696928,25501122.378740437,26116092.23811645,28373565.001935385
2020-01-31,30231132.080120213,27073394.067946557,27726279.893735807,30122937.13982935
2020-02-28,28791157.541465104,25783829.4552321,26405616.909868952,28688116.1613789
2020-03-31,28909561.87196272,27839337.70480947,28636287.690043665,30850696.022921864
2020-04-30,29048241.71292176,26815577.589421883,27598220.65118574,29602071.876653865
2020-05-29,29182931.216338586,27049991.28685873,27918424.772084605,30012740.69070279
2020-06-30,29332279.00453731,26501759.486496866,27214237.003058996,29133589.956153065
2020-07-31,31021180.80778405,28028019.408964712,28781185.617632754,30811051.588247407
2020-08-31,33805338.92951663,30543540.605822776,31364303.655174304,33576350.56413342
2020-09-30,39551677.02381711,35735427.937110744,36695706.877331376,39283764.494120814
2020-10-30,40996130.890464455,37040509.81844218,38035858.79191134,40718434.01485506
2020-11-27,46138338.01204728,41686557.36581585,42806754.4766253,45825809.19448673
2020-12-31,48980932.86632378,44254876.87116145,45444089.61365952,48649149.06804896
2021-01-29,50539189.82459838,45662781.2491829,46889827.06104948,50196850.808567375
2021-02-26,58870750.422004335,53190448.99265134,54619777.55920477,58471975.63272845
2021-03-31,62505106.55304875,56474134.57545297,57991702.02127828,62081713.60297281
2021-04-30,66484581.74812081,60069639.48856657,61683824.9923482,66034232.8925915
2021-05-31,73513930.95477773,66420743.18179337,68205594.9256574,73015967.15925644
2021-06-30,81081895.24673265,73258492.24671733,75227087.31771088,80532668.07603544
2021-07-30,85170605.24923229,76952692.15541106,79020557.40667287,84593682.2455794
2021-08-31,85914902.59172647,77625173.98293176,79711110.10038795,85332937.91604157
2021-09-30,92575297.58691989,83642922.99620622,85890567.4792415,91948217.1688389
2021-10-29,98918697.91891414,89374263.42214367,91775919.92708471,98248648.99588713
2021-11-30,108494510.90883502,98026128.54620662,100660277.12839068,107759597.97813307
2021-12-31,108923320.53657316,97583883.56764306,101118371.52945018,108676222.82868847
2022-01-31,109463288.2636331,97226895.47441772,101169986.95821273,107155814.75194584
2022-02-28,109953301.44234413,98782405.09235984,103390504.51181048,109406355.8928219
2022-03-31,110498375.11408025,98421968.11936165,103367142.67933215,109358856.49334638
2022-04-29,111958154.74501167,99733929.47537258,104748398.54602343,110821275.50601621
2022-05-31,112418585.35941966,101998772.7639907,106202220.57004046,112565584.95180582
2022-06-30,112957859.92911159,104627293.3577753,108754231.55815367,115417717.27384771
2022-07-29,113481617.55310959,102983296.10989484,106994292.48886128,113497770.08545487
2022-08-30,124710747.52385202,113178086.08543159,117585284.64086452,124732602.26957814
2022-09-30,121222904.3426786,110012782.18300864,114296722.57717767,121244147.86661863
2022-10-31,126102559.71206819,114441190.05024867,118897574.36382306,126124658.36380947
2022-11-30,131172499.52639617,119042285.75488509,123677838.5192103,131195486.6520477
2022-12-30,129482482.35079199,117508553.39272593,122084382.02418466,129505173.31194785
2023-01-31,125902180.71562271,114259341.15783416,118708644.2050283,125924244.25225087
2023-02-28,126339316.92913935,114944190.44907,119084262.21359377,126031383.26812999
2023-03-31,126965621.31891075,115032688.26099804,119528517.78743996,126776367.61195841
2023-04-28,127533983.81446873,114040169.03752933,118449104.5984073,125300272.36694641
2023-05-31,136395692.6489379,121971736.85692346,126689635.61363997,134016441.62123883
2023-06-30,152016767.45434353,135940870.25537524,141199098.75397518,149365026.45601022
2023-07-31,174885907.4525268,156391580.03828624,162440847.3524764,171835243.11734512
2023-08-31,200271972.4808775,179093047.97569656,186020414.0209328,196778480.22250473
2023-09-29,214050575.98130316,191414552.9130659,198818517.99938223,210316733.34307626
2023-10-31,211327211.63608456,188979186.56952968,196288951.04724276,207640874.65798005
2023-11-30,212128612.23421517,186706795.69507226,194120447.3491538,205048830.2913955
2023-12-29,226068794.7133092,198990414.55032417,206897721.9785357,218550628.7179815
2024-01-31,262157899.75660458,230756788.95163274,239926400.84229007,253439550.94665018
2024-02-29,262132340.9553729,230734291.5677768,239903009.47702855,253414842.1314175
2024-03-28,253269760.91002333,222933265.86917916,231791993.42742035,244846996.91672996
2024-04-30,292413674.9271535,257388546.1181362,267616427.53270426,282689137.0925797
2024-05-31,308007857.5824594,271114867.236838,281888193.220629,297764718.0810224
2024-06-28,333729409.6043167,293755507.69408464,305428507.6891672,322630871.647719
2024-07-31,360548202.8895775,317361962.5360335,329973015.23153025,348557776.51481646
2024-08-30,358139662.3476985,315241915.48797643,327768723.60410905,346229334.6332737
2024-09-30,355755170.1395693,313143036.2791528,325586440.9650427,343924141.33173615
2024-10-31,342973042.78842235,301891944.2225716,313888262.8314989,331567097.66063094
2024-11-29,344218760.53132033,303306772.0160388,316432164.29514426,335150185.56544083
2024-12-31,345980348.8433634,303813504.33097744,317741409.74408054,337158475.4793465
2025-01-31,347695484.0563927,306577649.5347937,317298602.4033033,337058878.48358935
2025-02-28,349251945.3327579,314754172.93062407,327232852.9861665,346287487.4235387
2025-03-28,350815374.1189583,309035533.97736883,321268988.0303696,340126876.2621657
2025-04-30,349109475.1091609,307552450.56327575,319724890.5164819,338490789.15646374
2025-05-30,377482119.3736816,332547693.8742313,345709406.0564866,366000437.08151686
2025-06-30,400186221.8984007,352549162.9467446,366502501.66559625,388013960.42767787
2025-07-31,391264836.69719,344689754.71901506,358332030.48081785,379363932.478186
2025-08-29,384269742.8506059,338527337.4607487,351925714.48623693,372581604.8555588
2025-09-30,385850061.44554925,336495132.3669439,349409454.4715633,369583516.34039336
2025-10-31,387762843.571896,335218864.3399347,347603466.0782595,367415218.99211293
2025-11-28,386748495.41302973,334385603.6241322,346738471.85740364,366496248.6045122
2025-12-31,386902355.896375,334518632.53363705,346876415.1189988,366642052.1192595
2026-01-30,375563430.4337741,324714913.8890134,336710527.63905305,355896894.2336126
2026-02-27,376867398.1250561,323464357.7619406,335991734.2594972,353792613.43154
2026-03-30,378735650.3172049,334250393.4539535,346906000.4458338,365420990.93976194
2026-04-30,380613164.03282547,325218981.19757324,336660545.1328212,353660810.58511144
2026-05-29,382377973.0207197,326014561.48621994,337594723.57318646,352630831.1616179
2026-06-18,383599848.1145412,324928929.11129737,335968443.9651622,350249562.804311
