,top_5,top_10,top_20,top_50
2011-02-28,1395601.1391456092,1430585.8122719824,6625278.951617166,3895969.5268221726
2011-03-31,1425890.217165557,1506106.3720551757,7215470.116477717,4224728.012238582
2011-04-29,1394538.9489865974,1497755.3582654311,7487829.446578372,4419200.182090729
2011-05-31,1499803.5854346172,1539458.6806836892,7409533.464401997,4336240.440778199
2011-06-30,1569366.459783684,1629688.455530332,7807041.274621892,4463126.753203676
2011-07-29,1602331.5740315272,1773655.0559432795,8333405.110573858,4698812.765596179
2011-08-30,1645808.7050580038,1745715.1156820296,8035643.535089159,4483738.62386382
2011-09-30,1644162.8963529456,1743969.400566348,8027607.891554071,4479254.885239957
2011-10-31,1644162.8963529456,1743969.400566348,8027607.891554071,4479254.885239957
2011-11-30,1644162.8963529456,1743969.400566348,8027607.891554071,4479254.885239957
2011-12-30,1644162.8963529456,1743969.400566348,8027607.891554071,4479254.885239957
2012-01-31,1644162.8963529456,1743969.400566348,8027607.891554071,4479254.885239957
2012-02-29,1644162.8963529456,1743969.400566348,8027607.891554071,4479254.885239957
2012-03-30,1644162.8963529456,1743969.400566348,8027607.891554071,4479254.885239957
2012-04-30,1644162.8963529456,1743969.400566348,8027607.891554071,4479254.885239957
2012-05-31,1644162.8963529456,1743969.400566348,8027607.891554071,4479254.885239957
2012-06-29,1644162.8963529456,1743969.400566348,8027607.891554071,4479254.885239957
2012-07-31,1644162.8963529456,1743969.400566348,8027607.891554071,4479254.885239957
2012-08-31,1644162.8963529456,1743969.400566348,8027607.891554071,4479254.885239957
2012-09-28,1730561.1359052006,1894338.0570536286,8651126.655151019,4849435.79851951
2012-10-31,1692361.4036813611,1905673.0001527227,8838659.863892231,5003624.257761889
2012-11-30,1780110.5740660375,1984831.4184688046,9363112.583701713,5237657.742058984
2012-12-31,1760120.6743502095,1949274.4134235105,9180050.610445736,5374850.821676069
2013-01-31,1691556.5432062475,2048882.8795838347,9297513.857155183,5370767.515489506
2013-02-28,1681466.9306949088,1910629.4495432822,8820980.540567469,5033560.413423252
2013-03-28,1648430.4190405305,1897055.049587386,8700267.6064902,4940848.771485034
2013-04-30,1798059.6632593242,1997558.8704031568,9070391.657820713,5151088.916825193
2013-05-31,1785607.7322777142,2037341.0066986498,9366393.236957528,5375104.955796886
2013-06-28,1716516.2556539306,1979891.8585861623,9149107.080672294,5215722.570822578
2013-07-31,1677868.4111714438,1965988.990717847,9057274.267215382,5100572.436640293
2013-08-30,1544530.5389321987,1885736.3354622491,8729171.776422815,4889541.132728068
2013-09-30,1689027.138638799,2090302.8956848022,9469753.506198656,5277043.761231743
2013-10-31,1832242.8083044873,2258581.143059386,10464097.91995331,5824677.997180841
2013-11-29,1847164.0595348775,2277542.858268134,10766064.043023728,6046605.756179397
2013-12-31,1921311.034402426,2374121.809037038,11434363.5769461,6525521.498975446
2014-01-31,1854361.067957215,2357869.5802799007,11294642.157549314,6464283.659238137
2014-02-28,1874540.5201632122,2454729.8493338884,12112710.87636244,6869776.72000991
2014-03-31,2037197.825028016,2526215.529706767,12136127.52583919,6962008.986622941
2014-04-30,2109727.586699018,2794675.966367973,12814746.294247072,7506944.703839304
