,LiqFund,ME_cap3pct,Daily_cap3pct,Daily_cap5pct,NoCap
2008-07-31,1156595.583414922,1234030.668717309,1178768.0836584668,1125716.8807771187,1067975.379703249
2008-08-29,1161958.4307198918,1226929.7189326852,1162323.9334265608,1110012.809923216,1055475.2497597209
2008-09-30,1167904.9177372658,1284375.8040993311,1216748.0786637675,1161987.5620943482,1104896.3591727016
2008-10-31,1173694.595840597,1416869.0337353821,1342267.9983429613,1281858.3784283916,1218877.6381976055
2008-11-28,1178948.6479421442,1479449.6011322378,1324436.016209699,1264828.93592531,1272716.0017850073
2008-12-31,1185171.1264162182,1471600.5182471036,1307915.248273685,1249051.6955955145,1187991.0459211154
2009-01-30,1190856.4198858521,1508358.4881656624,1295454.0373658477,1221203.3583611313,1217667.7974046175
2009-02-27,1196187.2970132714,1544092.6606975053,1326147.2322104883,1250137.331734146,1246518.0027255106
2009-03-31,1202308.9551070384,1535727.3059353326,1315490.112842083,1220061.151262176,1204359.2109473702
2009-04-30,1307442.1585940984,1670015.5275024422,1430520.1882076373,1326746.6556306297,1309671.694446898
2009-05-29,1956038.4834552044,2498477.365358274,2140173.1014262154,1984919.5615656169,1959374.0481680706
2009-06-30,1986187.4447841696,2536987.0869750073,2173160.180472948,2015513.6749273534,1989574.421477111
2009-07-31,1947333.3289058942,2487358.140564199,2130648.474090006,1976085.8746532537,1950654.0490200582
2009-08-31,1973250.722806855,2520462.8174804966,2159005.6407587947,2002385.9411263561,1976615.6389556446
2009-09-30,2191668.5370136504,2799451.175635263,2397984.5436748406,2224028.713331763,2195405.91349995
2009-10-30,2112288.9407529356,2698058.423802311,2311132.429999059,2143477.070437319,2115890.9539616453
2009-11-30,2341303.622193847,2990582.3198067104,2561705.7521485044,2375873.173542001,2345296.1662109243
2009-12-31,2499118.371595888,3192161.472075836,2734376.6298103556,2536018.071426809,2503380.0316419844
2010-01-29,2419390.259188434,3090323.555328467,2647143.1918973634,2455112.7665144503,2423515.961644425
2010-02-26,2427790.455999238,3086734.857431941,2630147.0312028183,2452267.1956837773,2420707.0127349556
2010-03-31,2440604.3083060253,3070358.471428745,2615946.2432117276,2436480.6468414227,2405123.6335840896
2010-04-30,2652692.203566871,3337171.8437093194,2843271.308135248,2648210.196967081,2614128.2672123136
2010-05-31,2591937.800349297,3260740.856530921,2778152.0865085777,2587558.444798061,2554257.0908296453
2010-06-30,2601767.0148997367,3239101.14016961,2754051.4812298175,2557480.2800919856,2524566.0260213953
2010-07-30,2727426.892029484,3395542.915683556,2887066.3779359576,2681001.201034437,2646497.2576878103
2010-08-31,2879962.045872822,3585443.3902073833,3048529.5927342502,2830939.933342551,2794506.3088294184
2010-09-30,3080257.899987189,3834804.123016158,3260548.997449905,3027826.3932554186,2988858.8798145507
2010-10-29,3178141.9669564967,3956666.0695736376,3364162.33334117,3124044.2980776406,3083838.4796574065
2010-11-30,3082328.9225151218,3837382.467423295,3262741.2393485988,3029862.163270368,2990868.449881046
2010-12-31,3070412.8037701882,3822547.3520605173,3250127.6562367952,3018148.878210301,2979305.912431224
2011-01-31,2727360.3165922137,3395460.031792136,2886995.9057604815,2680935.7588303606,2646432.657711671
2011-02-28,2736829.794840438,3437563.0423563514,2922800.504675044,2714184.794400208,2679253.784916839
2011-03-31,2750397.135207864,3418553.744364691,2904440.5610923236,2672591.15197486,2611843.2093998613
2011-04-29,2856659.7429659893,3550630.829156316,3016654.693425915,2775847.696873304,2712752.7351310262
2011-05-31,2830342.121847071,3517919.843143727,2988863.082799663,2750274.5749255414,2687760.889725466
2011-06-30,2841075.4195222813,3568702.5829941267,3032015.79816437,2789982.5885142335,2726566.3409721893
2011-07-29,3001472.587198762,3770179.0318974964,3203192.790874294,2947495.233898223,2880498.7271273946
2011-08-30,3013816.215678527,3889194.9485782227,3304318.4218081255,3040548.4263415844,2971436.822397441
2011-09-30,3028756.6662977305,3917164.8600701266,3272564.303704987,3062422.6493955846,2992813.844805928
2011-10-31,3043771.1815077155,3895503.423409902,3230052.4759983695,3034879.557502301,2965896.806831679
2011-11-30,2819163.4951472785,3608044.229217827,2991698.6148853833,2810928.0068947673,2747035.6704185624
2011-12-30,2829854.4009409444,3716990.2576454883,2956905.818304419,2778237.532706952,2829989.84241464
2012-01-31,2844336.5820683953,3696852.9025863055,2923919.8457149365,2747244.7068503974,2597771.7761593075
2012-02-29,3175423.8964889576,4127175.0757923624,3264270.8349058023,3067030.303879058,2900158.3805676606
2012-03-30,3299837.5833730963,4288878.547307898,3392165.561026633,3187197.110053468,3013787.1143796444
2012-04-30,3478324.6505728606,4520862.496258038,3575646.6164259654,3359591.493227778,3176801.811200024
