,A,B
2015-02-27,7049439.057279326,9295710.720816065
2015-03-31,7281871.496221187,9602206.698294755
2015-04-30,7274589.624724966,9638620.438540569
2015-05-29,7274589.624724966,9683312.334639492
2015-06-30,7274589.624724966,9732868.058459522
2015-07-31,7274589.624724966,9781116.997414116
2015-08-31,6973244.702136897,9375940.884882264
2015-09-30,6966271.457434761,9411496.573972236
2015-10-30,6966271.457434761,9456643.742021533
2015-11-30,6966271.457434761,9503523.348719535
2015-12-31,6966271.457434761,9550635.352617234
2016-01-29,6966271.457434761,9594919.283661053
2016-02-29,6966271.457434761,9642484.366431206
2016-03-31,6966271.457434761,9690285.24452512
2016-04-29,7373284.454425527,10256452.104827447
2016-05-31,7406326.566395815,10302414.639022395
2016-06-30,7758027.23644451,10791640.451465461
2016-07-29,8233911.953800081,11453609.868371278
2016-08-31,8647356.920480747,12028723.784693476
2016-09-30,8741785.822462985,12160077.120710637
2016-10-28,9283333.447344206,12913385.54267766
2016-11-30,8617433.70223566,11987099.721950462
2016-12-30,8608816.268533422,12032557.516110765
2017-01-31,8608816.268533422,12094135.835234478
2017-02-28,9156563.53560035,12863641.147538507
2017-03-31,9625556.476915613,13522508.076638306
2017-04-28,10522635.36359009,14782773.550071426
2017-05-31,10500485.562675664,14751656.29856711
2017-06-30,10579639.22795454,14862855.69577557
2017-07-31,11524237.589268396,16189879.125608364
2017-08-31,12445343.02159348,17483898.40417403
2017-09-29,13334175.90782201,18732579.445278727
2017-10-31,15037809.148163926,21125936.57817823
2017-11-30,15400195.440541249,21635036.65746068
2017-12-29,16712653.537790114,23478849.559380718
2018-01-31,17164733.06007588,24113955.59258027
2018-02-28,16748325.040593436,23528962.837082718
2018-03-28,15489346.546806907,21760281.00644038
2018-04-30,15473857.200260099,21853256.4075252
2018-05-31,15050613.6383679,21255522.438472614
2018-06-29,14543218.169910159,20538943.29930122
2018-07-31,15237688.564790264,21519722.64929386
2018-08-31,16471549.687779987,23262267.067470226
2018-09-28,14318660.096110465,20221806.78307163
2018-10-31,14304341.43601435,20308208.727778103
2018-11-30,14304341.43601435,20405627.67757072
2018-12-31,14304341.43601435,20506784.89846714
2019-01-31,14304341.43601435,20608443.588051565
2019-02-28,14197511.645880211,20454532.57345848
2019-03-28,15037454.681250328,21664649.008320734
2019-04-30,15047985.463944575,21679820.838639736
2019-05-31,15255528.996133756,21978831.400874857
2019-06-28,15154763.779034285,21833657.692492615
2019-07-31,13946397.463419883,20092749.23051034
2019-08-30,13932451.065956464,20168945.48146523
2019-09-30,13932451.065956464,20268929.39303875
2019-10-31,14614238.467852822,21260793.684876613
2019-11-29,14715815.483901413,21408567.92477869
2019-12-31,15137563.836532224,22022127.415541377
2020-01-31,16037464.403863015,23331302.733913925
2020-02-28,15537184.02095173,22603494.8478537
2020-03-31,15521646.836930772,22696452.266134378
2020-04-30,15521646.836930772,22805327.67574944
2020-05-29,15521646.836930772,22911070.332749512
2020-06-30,15521646.836930772,23028320.983621273
2020-07-31,16751595.133027565,24853104.426598735
2020-08-31,17568863.499288667,26065625.138205282
2020-09-30,19258053.52927081,28571751.622168858
2020-10-30,19388052.20549155,28764621.05637953
2020-11-27,21407338.526255902,31760487.026075307
2020-12-31,23122091.22519181,34304538.95390767
2021-01-29,23617667.495251913,35039788.86254862
2021-02-26,26952906.338384267,39988036.3934711
2021-03-31,29114369.08209619,43194839.0207482
2021-04-30,31404857.258777373,46593067.15310751
2021-05-31,34172000.36369801,50698472.9967781
2021-06-30,38256429.75282121,56758239.2055977
2021-07-30,41026752.48156443,60868362.422287
2021-08-31,41516786.30286971,61595389.40907544
2021-09-30,44530296.46922401,66066311.86513202
2021-10-29,46423851.653213,68875639.83369182
2021-11-30,48167957.27163094,71463240.52015398
2021-12-31,48119789.31435931,71745689.14642741
2022-01-31,48119789.31435931,72101355.46750452
2022-02-28,48119789.31435931,72424117.69164778
2022-03-31,48119789.31435931,72783147.1999444
2022-04-29,49673272.76115606,75132854.37846574
2022-05-31,49623599.48839488,75441840.05603865
2022-06-30,49623599.48839488,75803736.31814615
2022-07-29,49623599.48839488,76155219.47167863
2022-08-30,54527363.3606237,83680816.52181222
2022-09-30,53863041.04491728,82661309.42691903
2022-10-31,56580665.909106046,86831932.27789521
2022-11-30,58406360.332862005,89633747.56261411
2022-12-30,58326126.3183185,89510615.8460589
2023-01-31,57093267.43442176,87618599.95344475
2023-02-28,57036174.16698736,87922814.40628086
2023-03-31,57036174.16698736,88358675.90974772
2023-04-28,57036174.16698736,88754214.14303152
2023-05-31,61917807.43715879,96350542.80561066
2023-06-30,68251579.24728143,106206549.9410628
2023-07-31,77848846.96815604,121140895.85270588
2023-08-31,88895810.75873943,138331119.4997058
2023-09-29,95665898.9332185,148866080.23963404
2023-10-31,94035591.26449889,146329152.0872491
2023-11-30,93941555.67323437,146884065.33812103
2023-12-29,101474090.97088958,158661700.8998635
2024-01-31,117289278.3232513,183389831.02024645
2024-02-29,117219796.00292699,183281190.64692906
2024-03-28,113386468.69455644,177287520.48903173
2024-04-30,128257109.76941016,200538787.72220686
2024-05-31,134614686.85512623,210479295.5343053
2024-06-28,146604920.6284145,229226848.39686435
2024-07-31,158486919.2347231,247805168.1524714
2024-08-30,159805952.79127902,249867567.58492544
2024-09-30,160803341.21420655,251427052.7907099
2024-10-31,153869410.45035577,240585376.4732539
2024-11-29,153715541.03990534,241459210.37494457
2024-12-31,153715541.03990534,242694912.1193094
2025-01-31,153715541.03990534,243898028.39799532
2025-02-28,153715541.03990534,244989839.63509992
2025-03-28,153715541.03990534,246086538.3728756
2025-04-30,153664696.09118477,246005139.59341744
2025-05-30,167710273.32367215,268491008.3429824
2025-06-30,178372297.63735476,285560073.95372933
2025-07-31,174790001.92318317,279825099.1700174
2025-08-29,170873036.12039128,273554343.7941263
2025-09-30,170702163.08427092,274679342.63743484
2025-10-31,170702163.08427092,276041015.9649061
2025-11-28,170891367.20139605,276346976.33337647
2025-12-31,171025483.79872328,276563855.14214534
2026-01-30,166126723.6784062,268642111.81946075
2026-02-27,165960596.95472783,269574845.42966807
2026-03-30,165960596.95472783,270911214.1323677
2026-04-30,165960596.95472783,272254207.6420173
2026-05-29,165960596.95472783,273516582.9827641
2026-06-18,165960596.95472783,274390595.4104509
