,A,B,C,D
2011-05-31,4336240.440778199,2300076.0880494136,2819439.2064604256,1565666.3801977404
2011-06-30,4463126.753203676,2297776.0119613637,2926972.4803914283,1564100.713817542
2011-07-29,4698812.765596179,2297776.0119613637,3074709.1344534676,1564100.713817542
2011-08-30,4483738.62386382,2297776.0119613637,2934287.54379685,1564100.713817542
2011-09-30,4479254.885239957,2297776.0119613637,2931353.256253053,1564100.713817542
2011-10-31,4479254.885239957,2297776.0119613637,2931353.256253053,1564100.713817542
2011-11-30,4479254.885239957,2297776.0119613637,2931353.256253053,1564100.713817542
2011-12-30,4479254.885239957,2297776.0119613637,2931353.256253053,1564100.713817542
2012-01-31,4479254.885239957,2297776.0119613637,2931353.256253053,1564100.713817542
2012-02-29,4479254.885239957,2297776.0119613637,2931353.256253053,1564100.713817542
2012-03-30,4479254.885239957,2397438.1786200525,2931353.256253053,1564100.713817542
2012-04-30,4479254.885239957,2497815.625347685,2931353.256253053,1564100.713817542
2012-05-31,4479254.885239957,2446874.76192032,2931353.256253053,1564100.713817542
2012-06-29,4479254.885239957,2444427.8871584,2931353.256253053,1564100.713817542
2012-07-31,4479254.885239957,2497358.9829630754,2931353.256253053,1564100.713817542
2012-08-31,4479254.885239957,2598390.285754902,2931353.256253053,1564100.713817542
2012-09-28,4849435.79851951,2810316.998230061,2931353.256253053,1564100.713817542
2012-10-31,5003624.257761889,2899671.402730488,2931353.256253053,1564100.713817542
2012-11-30,5237657.742058984,3035297.134547771,2931353.256253053,1564100.713817542
2012-12-31,5374850.821676069,3114802.474902029,2931353.256253053,1564100.713817542
2013-01-31,5370767.515489506,3112436.140907345,2931353.256253053,1564100.713817542
2013-02-28,5033560.413423252,2917019.83059141,2931353.256253053,1564100.713817542
2013-03-28,4940848.771485034,2863292.1158431657,2931353.256253053,1564100.713817542
2013-04-30,5151088.916825193,2985129.269423005,2931353.256253053,1564100.713817542
2013-05-31,5375104.955796886,3114949.7492385134,2931353.256253053,1564100.713817542
2013-06-28,5215722.570822578,3022585.390925225,2931353.256253053,1564100.713817542
2013-07-31,5100572.436640293,2955854.2508738954,2931353.256253053,1564100.713817542
2013-08-30,4889541.132728068,2952898.396623022,2820015.791843124,1564100.713817542
2013-09-30,5277043.761231743,2952898.396623022,3015328.0560691934,1564100.713817542
2013-10-31,5824677.997180841,2952898.396623022,3299319.6926809233,1564100.713817542
2013-11-29,6046605.756179397,3068476.1177204917,3462029.1010928936,1642878.858593698
2013-12-31,6525521.498975446,3311511.8932327656,3751600.444177453,1780292.6768247546
2014-01-31,6464283.659238137,3280435.475104679,3716394.0768710207,1763585.7703122217
2014-02-28,6869776.72000991,3486211.3803070295,3949516.892747281,1874212.3810296305
2014-03-31,6962008.986622941,3533016.5663564242,4002542.327181491,1899375.1866144263
2014-04-30,7506944.703839304,3809555.553913608,4315832.39588758,2048044.540757672
2014-05-30,8425050.293791302,4275467.371206198,4843662.29264089,2298522.0939463377
2014-06-30,10035119.92330513,5092530.762676906,5786758.245953765,2746060.909502186
2014-07-31,10146188.280042065,5148894.715252026,5850805.884061142,2776454.215715657
2014-08-28,10830922.781340165,5496377.50955613,6245658.466985812,2963828.423674588
2014-09-30,11851449.13249799,6014264.876833545,6834145.632352006,3243090.4097245196
2014-10-31,12379070.926726902,6282017.553304261,7138399.073450246,3387471.502846147
2014-11-28,13099566.626837417,6647648.113300676,7553873.3742711125,3584631.5859003672
2014-12-31,13075217.284961328,6635291.532263013,7539832.310889516,3577968.508985586
2015-01-30,14110273.955378419,7160552.612897599,8178600.234088022,3881090.835785016
2015-02-27,14843386.385770466,7532585.795640349,8603527.029540628,4082736.5263075707
2015-03-31,15332799.014458764,7780948.4346806295,8887200.489901055,4217351.550376299
2015-04-30,14966133.312029257,7594876.28173063,8670583.302734366,4114557.556792636
2015-05-29,15651573.693911549,7587281.405448897,9072316.694865992,4110442.999235845
2015-06-30,15808461.981516356,7671005.82357182,9168593.9742462,4158222.0827064496
2015-07-31,17512892.81319342,8498075.455706647,10247243.04620743,4647420.579566352
2015-08-31,16770645.718214815,8137902.417066492,9858506.247949637,4471117.217958603
2015-09-30,17083749.962570876,8129764.514649424,10123999.551948084,4466646.100740646
2015-10-30,17066666.212608304,8129764.514649424,10113875.552396134,4466646.100740646
2015-11-30,17475461.833795387,8129764.514649424,10335181.306830699,4466646.100740646
2015-12-31,17457986.37196159,8129764.514649424,10324846.125523863,4466646.100740646
2016-01-29,17457986.37196159,8129764.514649424,10324846.125523863,4466646.100740646
2016-02-29,17457986.37196159,8129764.514649424,10324846.125523863,4466646.100740646
2016-03-31,17457986.37196159,8129764.514649424,10324846.125523863,4466646.100740646
2016-04-29,17457986.37196159,8129764.514649424,10324846.125523863,4466646.100740646
2016-05-31,17457986.37196159,8129764.514649424,10324846.125523863,4466646.100740646
2016-06-30,17457986.37196159,8524343.077927869,10324846.125523863,4737601.861470018
2016-07-29,17457986.37196159,9047234.332707837,10324846.125523863,5057451.2322289115
2016-08-31,18352947.745248232,9501518.216021916,10769725.710957633,5270092.60414732
2016-09-30,18553361.434616886,9605274.536080614,10887330.82230986,5327641.871805706
2016-10-28,19702729.426756594,10200314.693433832,11561793.48564435,5657685.624934543
2016-11-30,18289439.407860078,9468639.267477045,10732458.271224065,5251856.033988849
2016-12-30,17530233.245508827,9075590.080968888,10286947.160960658,5033848.178424267
2017-01-31,19724774.48931171,9066514.490887921,11518995.985693661,5028814.330245845
2017-02-28,20958809.441135004,9643383.409830777,12239655.360732937,5348779.2615509005
2017-03-31,22032305.370917756,10137310.933188569,12866562.163268331,5622740.088510467
2017-04-28,24085663.638610177,11082084.113588823,14065695.043370795,6146766.0428288225
2017-05-31,24034964.109827403,11058756.691479132,14036087.218508625,6133827.302730759
2017-06-30,24216141.969916195,11142118.657964682,14177974.019412646,6195832.412825445
2017-07-31,26378269.38553591,12136937.743862066,15381235.975764628,6721662.790288232
2017-08-31,28486622.93501301,13107014.870532306,16618767.064774022,7262468.918347509
2017-09-29,30521106.616041325,14043103.641810214,17796163.620605458,7776996.0103975525
2017-10-31,34420618.07610879,15837312.622338219,20038391.4475047,8756858.706423074
2017-11-30,35250097.95865269,16218965.624173958,20521283.49050908,8967884.496697865
2017-12-29,38254233.63168822,17601202.157770827,22270178.482591823,9732158.733887024
2018-01-31,39289015.78800574,18077317.039536778,22872589.800870135,9995414.934422527
2018-02-28,38335883.502496995,17638770.179551043,22317711.971656017,9752931.0622772
2018-03-28,35454159.34482926,16312856.557796346,20681077.051954918,9037714.934108123
2018-04-30,38485473.355400234,16296543.701238545,22670158.35351978,9028677.219174014
2018-05-31,37395379.36035385,15850797.878889339,22078179.434319064,8801715.845116016
2018-06-29,36134683.51866861,15316426.1111705,21180520.748563416,8443854.061202798
2018-07-31,37860193.48756927,16047818.872064639,22269760.07235186,8878091.632458761
2018-08-31,40925896.04833187,17347279.727353085,24414778.138091177,9733227.335719254
2018-09-28,35576737.20764494,15079929.133346425,21434021.077550367,8544914.833402073
2018-10-31,34916663.44955802,14800143.3442046,20905827.313009765,8334344.417463612
2018-11-30,35299511.62746345,14785343.200860396,21157155.75412153,8326010.073046148
2018-12-31,35743970.79020146,14986493.211834215,21270295.407871913,8378913.018866686
2019-01-31,34445452.840482876,14442059.28329494,20561154.630589273,8099564.341425006
2019-02-28,34411007.38764239,14427617.224011647,20540593.47595868,8091464.777083583
2019-03-28,36483290.09923442,14427617.224011647,21812544.580135867,8091464.777083583
2019-04-30,36508839.47631651,14452173.108486338,21818738.98772342,8101864.485850069
2019-05-31,37012373.55529324,14651499.128698917,22091576.50434384,8203176.142200065
2019-06-28,36767900.88852363,14554723.625803532,21951587.563215543,8151194.612416081
2019-07-31,33836209.337448075,13394201.560337279,20201275.9534532,7501258.4507394815
2019-08-30,33875684.907435305,13380807.358776938,20345919.59789407,7493757.1922887415
2019-09-30,33841809.22252788,13380807.358776938,20325573.67829617,7493757.1922887415
2019-10-31,35497865.22272999,14035599.960683694,21320209.870059974,7860465.765129649
2019-11-29,35744594.960536845,14133155.120030122,21523256.393269807,7935326.20290896
2019-12-31,36769018.24557692,14538204.700589832,22140102.80161479,8162748.920822631
2020-01-31,38954869.33342086,15402474.460196612,23456291.54156592,8648009.4597146
2020-02-28,37739692.39175366,14922002.259187555,22724584.694486853,8378239.290629498
2020-03-31,28419627.569601443,14907080.25692837,17027468.542170443,8369861.051338868
2020-04-30,28391207.942031838,14907080.25692837,17010441.073628273,8369861.051338868
2020-05-29,28391207.942031838,14907080.25692837,17010441.073628273,8369861.051338868
2020-06-30,28391207.942031838,14907080.25692837,17010441.073628273,8369861.051338868
2020-07-31,28391207.942031838,14907080.25692837,17010441.073628273,8369861.051338868
2020-08-31,28391207.942031838,15650009.371994771,17010441.073628273,8786992.599363502
2020-09-30,31152083.857870754,17154707.715252496,18664605.17872258,9631833.831863973
2020-10-30,31120931.774012875,17270508.062912084,18645940.573543854,9696852.11867148
2020-11-27,31120931.774012875,19069249.90218827,18645940.573543854,10706789.611627163
2020-12-31,33647401.9847479,20596718.984641265,20159661.748484097,11564415.904636867
2021-01-29,34368567.46283612,21038168.898080077,20591744.204940394,11812276.275207493
2021-02-26,39222026.476428814,24009136.209367782,23369872.408744495,13405925.5331177
2021-03-31,42367399.665402904,25934526.101416223,25243997.147005685,14481001.008134069
2021-04-30,45700531.416831024,27974849.394550998,27228248.857616253,15619249.870008608
2021-05-31,49727294.19939223,30439767.829793684,29627382.866237108,16995492.380066413
2021-06-30,55670979.66433037,34078099.82671634,33168614.05006375,19026889.07387851
2021-07-30,59702369.45401987,36545850.61037046,35570504.816596344,20404712.974310692
2021-08-31,60415469.52835986,36982363.415898964,35995367.84734357,20648431.983655434
2021-09-30,64800747.09538094,39666740.94253614,38608103.96228067,22147205.497773025
2021-10-29,67556259.64117365,41353483.877104245,39992650.50131553,22941438.665793758
2021-11-30,70094292.30764921,42907099.98181671,41586440.669209555,23855702.63491185
2021-12-31,77566442.41277878,47481057.16270615,45822229.14497908,26285526.12247854
2022-01-31,80658142.43075036,49373591.88154822,47321616.992956884,27145637.01584101
2022-02-28,74953320.04145725,45881476.09612082,43974634.1343974,25225669.19668933
2022-03-31,84656398.52678686,45835594.62002471,50029424.06756939,25200443.527492642
