,A,B,C
2009-09-30,2765055.2245857525,1641799.8907666665,1517212.40424648
2009-10-30,2677931.401292302,1590068.5971944768,1469406.724189581
2009-11-30,2970402.6338418075,1763728.5058221996,1629888.5033467587
2009-12-31,3175220.3004033966,1885342.5768895438,1742273.9275339437
2010-01-29,3089072.125713463,1834190.5917363819,1695003.5952524813
2010-02-26,3086871.605615652,1832356.4011446447,1693796.148703673
2010-03-31,3353176.4562018625,1832356.4011446447,1839920.182331585
2010-04-30,3629140.531220273,1985143.1934462658,1991344.325336565
2010-05-31,3506843.59912748,1918246.6596155034,1924238.822082005
2010-06-30,3782687.118795933,1916328.4129558876,2075596.815206604
2010-07-30,3972625.5572931156,2014566.752643917,2179817.8638022263
2010-08-31,4237331.1985395,2148802.2038339386,2325064.395879429
2010-09-30,4542461.692227146,2303537.5895217345,2492492.4334174865
2010-10-29,4691522.381826356,2379128.0787490564,2574283.467909154
2010-11-30,4567486.543038233,2316227.995830314,2506223.809820896
2010-12-31,4541424.5595972985,2303011.6469469736,2491923.348765267
2011-01-31,4083993.3550294703,2071042.717820887,2240926.445886521
2011-02-28,3895969.5268221726,2068971.6751030658,2238685.5194406356
2011-03-31,4224728.012238582,2068971.6751030658,2238685.5194406356
2011-04-29,4419200.182090729,2166376.7061922946,2344080.501519962
2011-05-31,4336240.440778199,2125708.249520079,2300076.0880494136
2011-06-30,4463126.753203676,2123582.541270559,2297776.0119613637
2011-07-29,4698812.765596179,2237961.32422373,2297776.0119613637
2011-08-30,4483738.62386382,2235723.3628995065,2297776.0119613637
2011-09-30,4479254.885239957,2235723.3628995065,2297776.0119613637
2011-10-31,4479254.885239957,2235723.3628995065,2297776.0119613637
2011-11-30,4479254.885239957,2089187.3925161837,2297776.0119613637
2011-12-30,4479254.885239957,2087098.2051236674,2297776.0119613637
2012-01-31,4479254.885239957,2087098.2051236674,2297776.0119613637
2012-02-29,4479254.885239957,2289302.0172639936,2297776.0119613637
2012-03-30,4479254.885239957,2386208.0420283433,2397438.1786200525
2012-04-30,4479254.885239957,2486115.2983470922,2497815.625347685
2012-05-31,4479254.885239957,2435413.0533164353,2446874.76192032
2012-06-29,4479254.885239957,2432977.6402631174,2444427.8871584
2012-07-31,4479254.885239957,2485660.794977535,2497358.9829630754
2012-08-31,4479254.885239957,2586218.844552442,2598390.285754902
2012-09-28,4849435.79851951,2797152.844911078,2810316.998230061
2012-10-31,5003624.257761889,2886088.6933976095,2899671.402730488
2012-11-30,5237657.742058984,3021079.123955722,3035297.134547771
2012-12-31,5374850.821676069,3100212.0435151868,3114802.474902029
2013-01-31,5370767.515489506,3097856.7939581405,3112436.140907345
