,nav
2016-10-28,46856279.9419768
2016-11-30,42815980.82686416
2016-12-30,40198738.75686653
2017-01-31,46206716.34103939
2017-02-28,48949340.755169414
2017-03-31,52959114.06307776
2017-04-28,59855073.1282487
2017-05-31,60575095.92514159
2017-06-30,62993359.58332392
2017-07-31,68262220.43628605
2017-08-31,78520530.65686539
2017-09-29,86527895.39443278
2017-10-31,98294304.66234371
2017-11-30,102472431.35072938
2017-12-29,114534361.0702053
2018-01-31,120749404.29461372
2018-02-28,116155143.79660256
2018-03-28,107694382.67441364
2018-04-30,118802599.34701546
2018-05-31,120050877.47903836
2018-06-29,112807621.68446377
2018-07-31,116033257.20590027
2018-08-31,126385142.68867972
2018-09-28,106350496.60085343
2018-10-31,105045845.3862348
2018-11-30,99365102.87806933
2018-12-31,98261631.4052759
2019-01-31,94461899.3603726
2019-02-28,94652982.22836271
2019-03-28,99089714.20453675
2019-04-30,98179900.8021635
2019-05-31,101420550.82151581
2019-06-28,101131155.82524663
2019-07-31,92496205.90428302
2019-08-30,92174029.79829165
2019-09-30,97955437.16217467
2019-10-31,100992970.765433
2019-11-29,102703195.27166604
2019-12-31,104795072.31495047
2020-01-31,110255448.36129966
2020-02-28,104661643.47472541
2020-03-31,77498277.09765038
2020-04-30,87591034.17328376
2020-05-29,87098012.84156531
2020-06-30,93468045.93529609
2020-07-31,99327269.00831252
2020-08-31,106595440.77830262
2020-09-30,120421089.4120513
2020-10-30,121466610.43630356
2020-11-27,132552255.39235447
2020-12-31,140998208.29859114
2021-01-29,144871288.042935
2021-02-26,177903976.76312387
2021-03-31,197836962.4473999
2021-04-30,210461745.61067432
2021-05-31,233588718.0338118
2021-06-30,262991263.69535738
2021-07-30,269488721.59182024
2021-08-31,275979714.1066681
2021-09-30,308932766.6986712
2021-10-29,336651286.50501907
2021-11-30,372823542.74765664
2021-12-31,431502896.9752696
2022-01-31,454260795.61792237
2022-02-28,409617002.4543464
2022-03-31,459825255.4856491
2022-04-29,458944392.71973246
2022-05-31,419115128.2775747
2022-06-30,396665089.86612976
2022-07-29,430655166.27734905
2022-08-30,458891756.0416048
2022-09-30,431081286.50724983
2022-10-31,449451338.5738793
2022-11-30,471434131.5471407
2022-12-30,463998871.2473959
2023-01-31,438993684.48203313
2023-02-28,398392952.9951998
2023-03-31,409815012.10263973
2023-04-28,463030942.90944487
2023-05-31,483152020.27352726
2023-06-30,548523871.6093744
2023-07-31,621965552.3017836
2023-08-31,743257226.2217193
2023-09-29,781841749.0564722
2023-10-31,778791654.6471509
2023-11-30,886420901.3354009
2023-12-29,934739560.5394603
2024-01-31,1105487137.4704747
2024-02-29,1082410036.4864202
2024-03-28,1033281854.2784214
2024-04-30,1228778503.8019614
2024-05-31,1290111303.6659787
2024-06-28,1380131582.5430613
2024-07-31,1502823577.7129493
2024-08-30,1521967431.7177072
2024-09-30,1476561564.9621322
2024-10-31,1458015102.3853934
2024-11-29,1468717863.1718159
2024-12-31,1501251309.8173385
2025-01-31,1256993646.9031427
2025-02-28,1076942517.3076262
2025-03-28,1231401166.053363
2025-04-30,1226312405.682764
2025-05-30,1336040292.0183136
2025-06-30,1400014169.8557737
2025-07-31,1387801608.2932262
2025-08-29,1352666601.7351983
2025-09-30,1324178014.9142802
2025-10-31,1380154456.1116135
2025-11-28,1368725571.0154657
2025-12-31,1360845103.7336133
2026-01-30,1336497397.008264
2026-02-27,1346757874.8526273
2026-03-30,1237210104.4644952
2026-04-30,1474800785.004241
2026-05-29,1544973138.9179265
2026-06-18,1557200775.1400094
